fid,name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate
14,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,250,47,54,13,Northmoor,250.421875,-47.953125,1.0
48,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,244,30,31,22,Northmoor,244.2421875,-30.828125,1.0
100,Logging Camp,0,WOD_LoggingCamp_Medium_Destroyed_Woodlands,,228,64,18,64,Northmoor,228.140625,-64.5,1.0
110,Logging Camp,0,WOD_LoggingCamp_Medium_Destroyed_Woodlands,,261,7,49,119,Northmoor,261.3828125,-7.0234375,1.0
147,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,190,27,10,106,Northmoor,190.078125,-27.171875,1.0
150,Logging Camp,0,WOD_LoggingCamp_Medium_Destroyed_Woodlands,,206,18,68,60,Northmoor,206.53125,-18.53125,1.0
190,Logging Camp,0,WOD_LoggingCamp_Medium_Destroyed_Woodlands,,239,53,106,56,Northmoor,239.828125,-53.5625,1.0
207,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,270,27,38,9,Northmoor,270.296875,-28.0,1.0
257,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,126,53,119,65,Northmoor,126.9921875,-53.4921875,1.0
293,Logging Camp,0,WOD_LoggingCamp_Small_Mountains,,250,61,47,17,Northmoor,250.3671875,-61.8671875,1.0
322,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,249,58,109,79,Northmoor,249.8515625,-58.3828125,1.0
341,Logging Camp,0,WOD_LoggingCamp_Small_Mountains,,178,31,69,26,Northmoor,178.5390625,-31.796875,1.0
