fid,name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,sink
55,Desert Mountain,1,WOD_Mountain_Desert_06,116,463,413,56,20,4635641320,Ayasofya,463.4375,-413.84375,8,1
83,Desert Mountain,1,WOD_Mountain_Desert_06,-174,469,393,38,119,46938393119,Ayasofya,469.296875,-393.0703125,8,1
212,Desert Mountain,1,WOD_Mountain_Desert_02,-22,468,410,100,95,46810041095,Ayasofya,468.78125,-410.2578125,8,1
253,Desert Mountain,1,WOD_Mountain_Desert_01,129,490,393,106,101,490106393101,Ayasofya,490.828125,-393.2109375,8,1
375,Desert Mountain,1,WOD_Mountain_Desert_04,-157,493,394,49,102,49349394102,Ayasofya,493.3828125,-394.203125,8,1
399,Desert Mountain,1,WOD_Mountain_Desert_07,114,447,399,17,108,44717399108,Ayasofya,447.1328125,-399.15625,8,1
438,Desert Mountain,1,WOD_Mountain_Desert_04,60,479,389,96,55,4799638955,Ayasofya,479.75,-389.5703125,8,1
667,Desert Mountain,1,WOD_Mountain_Desert_02,-109,467,411,12,115,46712411115,Ayasofya,467.09375,-411.1015625,8,1
681,Desert Mountain,1,WOD_Mountain_Desert_02,-143,490,394,123,110,490123394110,Ayasofya,490.9609375,-394.140625,8,1
755,Desert Mountain,1,WOD_Mountain_Desert_06,-92,469,392,79,74,4697939274,Ayasofya,469.6171875,-392.421875,8,1
770,Desert Mountain,1,WOD_Mountain_Desert_07,-23,482,388,20,61,4822038861,Ayasofya,482.15625,-388.5234375,8,1
812,Desert Mountain,1,WOD_Mountain_Desert_07,62,491,393,84,95,4918439395,Ayasofya,491.65625,-393.2578125,8,1
