name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Dwynnen Border Tower,0,WOD_Dwynnen_BorderTower_01,180,554,15,123,106,55412315106,Dwynnen,554.9609375,-15.171875
Dwynnen Border Tower,0,WOD_Dwynnen_BorderTower_01,180,576,108,104,3,57610410803,Dwynnen,576.8125,-108.9765625
Dwynnen Border Tower,0,WOD_Dwynnen_BorderTower_01,270,586,60,77,15,586776015,Dwynnen,586.6015625,-60.8828125
Dwynnen Border Tower,0,WOD_Dwynnen_ScoutTower_01,,491,93,22,24,491229324,Dwynnen,491.171875,-93.8125
Dwynnen Border Tower,0,WOD_Dwynnen_ScoutTower_01,180,556,71,113,51,5561137151,Dwynnen,556.8828125,-71.6015625
Dwynnen Border Tower,0,WOD_Dwynnen_ScoutTower_01,270,577,60,125,27,5771256027,Dwynnen,577.9765625,-60.7890625
Dwynnen Border Tower,0,WOD_Dwynnen_ScoutTower_01,90,571,102,15,115,57115102115,Dwynnen,571.1171875,-102.1015625
Dwynnen Border Tower,0,WOD_Dwynnen_BorderTower_01,270,566,110,78,14,5667811014,Dwynnen,566.609375,-110.890625
Dwynnen Border Tower,0,WOD_Dwynnen_ScoutTower_01,180,544,120,106,58,54410612058,Dwynnen,544.828125,-120.546875
Dwynnen Border Tower,0,WOD_Dwynnen_BorderTower_01,,488,56,23,60,488235660,Dwynnen,488.1796875,-56.53125
Dwynnen Border Tower,0,WOD_Dwynnen_BorderTower_01,,487,27,46,50,487462750,Dwynnen,487.359375,-27.609375
