name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY
Sentinel Border Tower,0,WOD_Sentinel_ScoutTower_01,180.0,445,372,108,99,Sentinel,445.84375,-372.2265625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,180.0,445,379,108,20,Sentinel,445.84375,-379.84375
Sentinel Border Tower,0,WOD_Sentinel_ScoutTower_01,180.0,444,388,122,22,Sentinel,444.953125,-388.828125
Sentinel Border Tower,0,WOD_Sentinel_ScoutTower_01,180.0,444,389,108,26,Sentinel,444.84375,-389.796875
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,180.0,444,391,111,4,Sentinel,444.8671875,-391.96875
Sentinel Border Tower,0,WOD_Sentinel_ScoutTower_01,180.0,443,404,116,51,Sentinel,443.90625,-404.6015625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,180.0,444,417,108,54,Sentinel,444.84375,-417.578125
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,180.0,444,418,3,24,Sentinel,444.0234375,-418.8125
Sentinel Border Tower,0,WOD_Sentinel_ScoutTower_01,270.0,429,419,31,17,Sentinel,429.2421875,-419.8671875
Sentinel Border Tower,0,WOD_Sentinel_ScoutTower_01,270.0,417,419,123,18,Sentinel,417.9609375,-419.859375
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,270.0,384,408,73,8,Sentinel,384.5703125,-408.9375
Sentinel Border Tower,0,WOD_Sentinel_ScoutTower_01,270.0,358,412,108,6,Sentinel,358.84375,-412.953125
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,270.0,349,412,72,5,Sentinel,349.5625,-412.9609375
Sentinel Border Tower,0,WOD_Sentinel_ScoutTower_01,270.0,325,405,76,14,Sentinel,325.59375,-405.890625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,320,405,120,8,Sentinel,320.9375,-405.9375
Sentinel Border Tower,0,WOD_Sentinel_ScoutTower_01,,311,397,10,124,Sentinel,311.078125,-397.0
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,313,387,70,120,Sentinel,313.546875,-387.0625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,310,385,78,108,Sentinel,310.609375,-385.15625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,318,383,70,91,Sentinel,318.546875,-383.2890625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,323,379,108,56,Sentinel,323.84375,-379.5625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,328,376,82,111,Sentinel,328.640625,-376.1328125
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,331,372,31,100,Sentinel,331.2421875,-372.21875
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,337,367,74,110,Sentinel,337.578125,-367.140625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,342,364,79,91,Sentinel,342.6171875,-364.2890625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,348,361,29,44,Sentinel,348.2265625,-361.65625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,347,358,19,105,Sentinel,347.1484375,-358.1796875
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,348,356,37,100,Sentinel,348.2890625,-356.21875
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,354,357,13,109,Sentinel,354.1015625,-357.1484375
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,367,354,35,95,Sentinel,367.2734375,-354.2578125
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,370,349,44,96,Sentinel,370.34375,-349.25
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,382,345,82,113,Sentinel,382.640625,-345.1171875
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,389,342,84,115,Sentinel,389.65625,-342.1015625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,395,341,3,108,Sentinel,395.0078125,-341.15625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,398,342,114,110,Sentinel,398.890625,-342.140625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,401,343,101,38,Sentinel,401.7890625,-343.703125
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,402,345,91,47,Sentinel,402.7109375,-345.6328125
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,400,346,99,59,Sentinel,400.7734375,-346.5390625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,396,341,105,63,Sentinel,396.8203125,-341.5078125
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,395,349,100,19,Sentinel,395.78125,-349.8515625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,383,369,73,114,Sentinel,383.5703125,-369.109375
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,395,369,95,96,Sentinel,395.7421875,-369.25
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,399,370,82,111,Sentinel,399.640625,-370.1328125
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,406,373,76,109,Sentinel,406.59375,-373.1484375
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,410,372,82,99,Sentinel,410.640625,-372.2265625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,414,373,104,108,Sentinel,414.8125,-373.15625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,423,373,6,104,Sentinel,423.046875,-373.1875
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,426,373,17,106,Sentinel,426.1328125,-373.171875
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,428,373,33,106,Sentinel,428.2578125,-373.171875
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,434,374,67,106,Sentinel,434.5234375,-374.171875
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,439,371,29,13,Sentinel,439.2265625,-371.8984375
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,440,370,83,105,Sentinel,440.6484375,-370.1796875
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,444,370,55,108,Sentinel,444.4296875,-370.15625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,382,362,102,110,Sentinel,382.796875,-362.140625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,387,354,90,90,Sentinel,387.703125,-354.296875
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,393,351,55,23,Sentinel,393.4296875,-351.8203125
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,403,327,87,88,Sentinel,403.6796875,-327.3125
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,403,323,90,79,Sentinel,403.703125,-323.3828125
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,407,325,79,44,Sentinel,407.6171875,-325.65625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,408,329,63,100,Sentinel,408.4921875,-329.21875
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,316,384,118,18,Sentinel,316.921875,-384.859375
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,309,390,83,108,Sentinel,309.6484375,-390.15625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,308,388,20,38,Sentinel,308.15625,-388.703125
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,310,393,51,42,Sentinel,310.3984375,-393.671875
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,312,399,20,82,Sentinel,312.15625,-399.359375
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,314,402,20,78,Sentinel,314.15625,-402.390625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,316,404,46,27,Sentinel,316.359375,-404.7890625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,270.0,320,405,3,14,Sentinel,320.0234375,-405.890625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,270.0,328,405,104,17,Sentinel,328.8125,-405.8671875
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,270.0,334,405,69,12,Sentinel,334.5390625,-405.90625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,337,408,15,122,Sentinel,337.1171875,-408.046875
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,,338,411,18,50,Sentinel,338.140625,-411.609375
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,270.0,340,412,105,15,Sentinel,340.8203125,-412.8828125
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,270.0,347,412,78,12,Sentinel,347.609375,-412.90625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,270.0,353,412,77,8,Sentinel,353.6015625,-412.9375
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,270.0,356,412,90,14,Sentinel,356.703125,-412.890625
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,270.0,362,411,64,15,Sentinel,362.5,-411.8828125
Sentinel Border Tower,0,WOD_Sentinel_BorderTower_01,270.0,366,409,47,14,Sentinel,366.3671875,-409.890625
