name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,rotYaxis,scale
Small Mountain,3,WOD_Mountain_Brown_02,888,456,101,102,888101456102,Ephesus,888.7890625,-456.203125,-21,0.72
Small Mountain,3,WOD_Mountain_Brown_07,812,447,27,9,8122744709,Ephesus,812.2109375,-447.9296875,29,0.68
Small Mountain,3,WOD_Mountain_Brown_03,814,436,81,124,81481436124,Ephesus,814.6328125,-436.03125,-85,0.68
Small Mountain,3,WOD_Mountain_Brown_08,824,452,37,82,8243745282,Ephesus,824.2890625,-452.359375,-35,0.54
Small Mountain,3,WOD_Mountain_Brown_08,813,438,79,24,8137943824,Ephesus,813.6171875,-438.8125,44,0.71
Small Mountain,3,WOD_Mountain_Brown_05,921,465,115,70,92111546570,Ephesus,921.8984375,-465.453125,163,0.5
Small Mountain,3,WOD_Mountain_Brown_08,883,428,73,38,8837342838,Ephesus,883.5703125,-428.703125,-73,0.51
Small Mountain,3,WOD_Mountain_Brown_05,835,436,86,20,8358643620,Ephesus,835.671875,-436.84375,19,0.73
Small Mountain,3,WOD_Mountain_Brown_09,876,437,28,60,8762843760,Ephesus,876.21875,-437.53125,-41,0.67
Small Mountain,3,WOD_Mountain_Brown_09,830,442,122,108,830122442108,Ephesus,830.953125,-442.15625,-173,0.59
Small Mountain,3,WOD_Mountain_Brown_05,872,455,110,72,87211045572,Ephesus,872.859375,-455.4375,-54,0.63
Small Mountain,3,WOD_Mountain_Brown_06,924,445,95,45,9249544545,Ephesus,924.7421875,-445.6484375,150,0.71
Small Mountain,3,WOD_Mountain_Brown_01,895,436,96,3,8959643603,Ephesus,895.75,-436.9765625,42,0.58
Small Mountain,3,WOD_Mountain_Brown_07,829,436,127,1,82912743601,Ephesus,829.9921875,-436.9921875,-5,0.5
Small Mountain,3,WOD_Mountain_Brown_03,870,455,102,31,87010245531,Ephesus,870.796875,-455.7578125,35,0.68
Small Mountain,3,WOD_Mountain_Brown_06,855,426,113,111,855113426111,Ephesus,855.8828125,-426.1328125,-67,0.54
Small Mountain,3,WOD_Mountain_Brown_02,842,465,22,79,8422246579,Ephesus,842.171875,-465.3828125,22,0.61
Small Mountain,3,WOD_Mountain_Brown_04,908,451,91,111,90891451111,Ephesus,908.7109375,-451.1328125,23,0.64
Small Mountain,3,WOD_Mountain_Brown_08,862,448,106,82,86210644882,Ephesus,862.828125,-448.359375,-52,0.61
Small Mountain,3,WOD_Mountain_Brown_07,904,438,42,64,9044243864,Ephesus,904.328125,-438.5,-141,0.65
Small Mountain,3,WOD_Mountain_Brown_06,869,447,42,15,8694244715,Ephesus,869.328125,-447.8828125,-131,0.63
Small Mountain,3,WOD_Mountain_Brown_08,858,427,78,60,8587842760,Ephesus,858.609375,-427.53125,-81,0.53
Small Mountain,3,WOD_Mountain_Brown_09,924,447,54,47,9245444747,Ephesus,924.421875,-447.6328125,-56,0.67
Small Mountain,3,WOD_Mountain_Brown_05,878,424,77,26,8787742426,Ephesus,878.6015625,-424.796875,174,0.57
Small Mountain,3,WOD_Mountain_Brown_09,852,463,88,23,8528846323,Ephesus,852.6875,-463.8203125,-118,0.73
Small Mountain,3,WOD_Mountain_Brown_09,905,447,22,114,90522447114,Ephesus,905.171875,-447.109375,-50,0.65
Small Mountain,3,WOD_Mountain_Brown_09,852,448,3,122,85203448122,Ephesus,852.0234375,-448.046875,171,0.51
Small Mountain,3,WOD_Mountain_Brown_08,909,424,52,31,9095242431,Ephesus,909.40625,-424.7578125,161,0.66
Small Mountain,3,WOD_Mountain_Brown_04,909,443,5,87,9090544387,Ephesus,909.0390625,-443.3203125,16,0.75
Small Mountain,3,WOD_Mountain_Brown_09,841,428,102,76,84110242876,Ephesus,841.796875,-428.40625,-82,0.55
Small Mountain,3,WOD_Mountain_Brown_01,855,427,64,38,8556442738,Ephesus,855.5,-427.703125,169,0.53
Small Mountain,3,WOD_Mountain_Brown_09,823,467,58,46,8235846746,Ephesus,823.453125,-467.640625,-17,0.64
Small Mountain,3,WOD_Mountain_Brown_06,856,442,23,104,85623442104,Ephesus,856.1796875,-442.1875,28,0.61
Small Mountain,3,WOD_Mountain_Brown_04,820,459,122,79,82012245979,Ephesus,820.953125,-459.3828125,-68,0.58
Small Mountain,3,WOD_Mountain_Brown_04,866,463,106,54,86610646354,Ephesus,866.828125,-463.578125,-118,0.53
Small Mountain,3,WOD_Mountain_Brown_02,852,450,13,122,85213450122,Ephesus,852.1015625,-450.046875,-146,0.65
Small Mountain,3,WOD_Mountain_Brown_04,867,438,46,17,8674643817,Ephesus,867.359375,-438.8671875,156,0.71
Small Mountain,3,WOD_Mountain_Brown_07,846,438,46,73,8464643873,Ephesus,846.359375,-438.4296875,-62,0.51
Small Mountain,3,WOD_Mountain_Brown_08,849,467,14,33,8491446733,Ephesus,849.109375,-467.7421875,-14,0.65
Small Mountain,3,WOD_Mountain_Brown_09,849,429,28,6,8492842906,Ephesus,849.21875,-429.953125,123,0.72
Small Mountain,3,WOD_Mountain_Brown_03,906,470,119,15,90611947015,Ephesus,906.9296875,-470.8828125,33,0.72
Small Mountain,3,WOD_Mountain_Brown_09,828,448,58,88,8285844888,Ephesus,828.453125,-448.3125,171,0.7
Small Mountain,3,WOD_Mountain_Brown_01,873,427,124,111,873124427111,Ephesus,873.96875,-427.1328125,56,0.71
Small Mountain,3,WOD_Mountain_Brown_03,891,444,119,127,891119444127,Ephesus,891.9296875,-444.0078125,63,0.64
Small Mountain,3,WOD_Mountain_Brown_07,893,460,90,96,8939046096,Ephesus,893.703125,-460.25,-89,0.72
Small Mountain,3,WOD_Mountain_Brown_07,835,433,14,73,8351443373,Ephesus,835.109375,-433.4296875,-126,0.58
Small Mountain,3,WOD_Mountain_Brown_04,811,448,40,6,8114044806,Ephesus,811.3125,-448.953125,179,0.73
Small Mountain,3,WOD_Mountain_Brown_08,867,465,96,45,8679646545,Ephesus,867.75,-465.6484375,-113,0.57
Small Mountain,3,WOD_Mountain_Brown_09,826,436,82,108,82682436108,Ephesus,826.640625,-436.15625,48,0.71
Small Mountain,3,WOD_Mountain_Brown_04,827,448,69,105,82769448105,Ephesus,827.5390625,-448.1796875,111,0.62
Small Mountain,3,WOD_Mountain_Brown_09,894,434,6,100,89406434100,Ephesus,894.046875,-434.21875,-89,0.63
