fid,name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate
53,Logging Camp,0,WOD_LoggingCamp_Small_Mountains,,301,178,77,13,Shalgora,301.6015625,-178.9375,1.0
83,Logging Camp,0,WOD_LoggingCamp_Small_Mountains,,291,123,116,84,Shalgora,291.9296875,-123.34375,3.0
90,Logging Camp,0,WOD_LoggingCamp_Medium_Destroyed_Woodlands,,326,117,9,106,Shalgora,326.046875,-117.171875,1.0
117,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,326,116,79,55,Shalgora,326.6171875,-116.5703125,1.0
133,Logging Camp,0,WOD_LoggingCamp_Small_Mountains,,335,101,12,38,Shalgora,335.03125,-101.703125,1.0
177,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,327,158,22,24,Shalgora,327.171875,-158.8125,1.0
211,Logging Camp,0,WOD_LoggingCamp_Small_Mountains,,309,130,45,13,Shalgora,309.3515625,-130.9296875,3.0
236,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,316,176,119,109,Shalgora,316.9296875,-176.1484375,1.0
300,Logging Camp,0,WOD_LoggingCamp_Medium_Destroyed_Woodlands,,330,200,38,45,Shalgora,330.296875,-200.6484375,1.0
320,Logging Camp,0,WOD_LoggingCamp_Medium_Destroyed_Woodlands,,292,155,10,79,Shalgora,292.078125,-155.3828125,1.0
