name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,rotYaxis,scale,sink
Small Mountain,1,WOD_Mountain_07,609,2,83,69,609830269,Phrygias,609.6484375,-2.4609375,73,0.64,1
Small Mountain,1,WOD_Mountain_06,595,10,15,58,595151058,Phrygias,595.1171875,-10.546875,-95,0.63,1
Small Mountain,1,WOD_Mountain_04,593,15,118,23,5931181523,Phrygias,593.921875,-15.8203125,102,0.64,1
Small Mountain,1,WOD_Mountain_04,602,11,67,82,602671182,Phrygias,602.5234375,-11.359375,109,0.74,1
Small Mountain,1,WOD_Mountain_01,609,20,26,67,609262067,Phrygias,609.203125,-20.4765625,-35,0.69,1
Small Mountain,1,WOD_Mountain_01,603,18,81,79,603811879,Phrygias,603.6328125,-18.3828125,146,0.5,1
Small Mountain,1,WOD_Mountain_05,585,7,127,55,5851270755,Phrygias,585.9921875,-7.5703125,17,0.72,1
Small Mountain,1,WOD_Mountain_06,595,2,122,83,5951220283,Phrygias,595.953125,-2.3515625,120,0.68,1
Small Mountain,1,WOD_Mountain_09,585,11,96,101,5859611101,Phrygias,585.75,-11.2109375,-96,0.73,1
Small Mountain,1,WOD_Mountain_03,597,7,105,59,5971050759,Phrygias,597.8203125,-7.5390625,-116,0.62,1
Small Mountain,1,WOD_Mountain_01,588,10,3,110,5880310110,Phrygias,588.0234375,-10.140625,149,0.57,1
Small Mountain,1,WOD_Mountain_09,598,8,38,26,598380826,Phrygias,598.296875,-8.796875,127,0.61,1
Small Mountain,1,WOD_Mountain_05,594,13,55,119,5945513119,Phrygias,594.4296875,-13.0703125,26,0.63,1
Small Mountain,1,WOD_Mountain_09,596,9,105,12,5961050912,Phrygias,596.8203125,-9.90625,94,0.57,1
Small Mountain,1,WOD_Mountain_01,598,8,14,6,598140806,Phrygias,598.109375,-8.953125,122,0.71,1
Small Mountain,1,WOD_Mountain_06,584,8,91,42,584910842,Phrygias,584.7109375,-8.671875,-46,0.74,1
Small Mountain,1,WOD_Mountain_01,587,10,108,91,5871081091,Phrygias,587.84375,-10.2890625,-87,0.56,1
Small Mountain,1,WOD_Mountain_07,602,12,27,113,6022712113,Phrygias,602.2109375,-12.1171875,-132,0.74,1
Small Mountain,1,WOD_Mountain_07,601,10,84,60,601841060,Phrygias,601.65625,-10.53125,-155,0.56,1
Small Mountain,1,WOD_Mountain_08,586,7,52,93,586520793,Phrygias,586.40625,-7.2734375,144,0.66,1
Small Mountain,1,WOD_Mountain_01,603,10,64,92,603641092,Phrygias,603.5,-10.28125,13,0.63,1
Small Mountain,1,WOD_Mountain_04,588,10,41,65,588411065,Phrygias,588.3203125,-10.4921875,134,0.73,1
Small Mountain,1,WOD_Mountain_05,600,9,12,74,600120974,Phrygias,600.09375,-9.421875,-102,0.5,1
Small Mountain,1,WOD_Mountain_05,609,22,104,24,6091042224,Phrygias,609.8125,-22.8125,38,0.74,1
Small Mountain,1,WOD_Mountain_09,577,7,72,125,5777207125,Phrygias,577.5625,-7.0234375,80,0.65,1
Small Mountain,1,WOD_Mountain_08,571,1,101,91,5711010191,Phrygias,571.7890625,-1.2890625,77,0.65,1
Small Mountain,1,WOD_Mountain_05,609,20,123,97,6091232097,Phrygias,609.9609375,-20.2421875,-9,0.67,1
Small Mountain,1,WOD_Mountain_09,602,18,104,22,6021041822,Phrygias,602.8125,-18.828125,112,0.56,1
Small Mountain,1,WOD_Mountain_07,601,8,118,31,6011180831,Phrygias,601.921875,-8.7578125,149,0.74,1
Small Mountain,1,WOD_Mountain_01,596,1,3,37,596030137,Phrygias,596.0234375,-1.7109375,-170,0.74,1
Small Mountain,1,WOD_Mountain_09,590,23,55,41,590552341,Phrygias,590.4296875,-23.6796875,-93,0.5,1
Small Mountain,1,WOD_Mountain_09,601,1,73,77,601730177,Phrygias,601.5703125,-1.3984375,117,0.63,1
Small Mountain,1,WOD_Mountain_08,604,8,119,95,6041190895,Phrygias,604.9296875,-8.2578125,34,0.72,1
Small Mountain,1,WOD_Mountain_09,591,7,104,32,5911040732,Phrygias,591.8125,-7.75,-59,0.72,1
Small Mountain,1,WOD_Mountain_09,582,3,108,24,5821080324,Phrygias,582.84375,-3.8125,21,0.67,1
Small Mountain,1,WOD_Mountain_02,586,7,13,19,586130719,Phrygias,586.1015625,-7.8515625,-38,0.68,1
Small Mountain,1,WOD_Mountain_01,603,10,101,59,6031011059,Phrygias,603.7890625,-10.5390625,-112,0.63,1
Small Mountain,1,WOD_Mountain_09,568,4,46,120,5684604120,Phrygias,568.359375,-4.0625,-119,0.67,1
