fid,name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate
472,Orc Camp,0,WOD_OrcCamp_Small_03,526,2,76,58,526760258,Phrygias,526.59375,-2.546875,1
473,Orc Camp,0,WOD_OrcCamp_Medium_01,527,4,117,82,5271250482,Phrygias,527.9765625,-4.359375,1
474,Orc Camp,0,WOD_OrcCamp_Medium_02,528,2,38,19,528380219,Phrygias,528.296875,-2.8515625,1
487,Orc Camp,0,WOD_OrcCamp_Medium_01,466,30,79,26,466793026,Phrygias,466.6171875,-30.796875,1
488,Orc Camp,0,WOD_OrcCamp_Medium_02,468,30,119,113,46811930113,Phrygias,468.9296875,-30.1171875,1
489,Orc Camp,0,WOD_OrcCamp_Medium_03,468,30,87,67,468973067,Phrygias,468.7578125,-30.4765625,1
1248,Orc Camp,0,WOD_OrcCamp_Small_02,516,6,55,104,5165506104,Phrygias,516.4296875,-6.1875,1
1359,Orc Camp,0,WOD_OrcCamp_Small_01,508,2,108,60,5081080260,Phrygias,508.84375,-2.53125,1
476,Orc Camp,0,WOD_OrcCamp_Large_01,468,7,95,45,468950745,Phrygias,468.7421875,-7.6484375,2
477,Orc Camp,0,WOD_OrcCamp_Small_01,469,7,6,116,4690507116,Phrygias,469.0390625,-7.09375,2
480,Orc Camp,0,WOD_OrcCamp_Medium_01,445,10,31,18,445311018,Phrygias,445.2421875,-10.859375,2
1099,Orc Camp,0,WOD_OrcCamp_Large_01,486,23,36,61,486362361,Phrygias,486.28125,-23.5234375,2
1104,Orc Camp,0,WOD_OrcCamp_Medium_02,465,28,99,108,4659928108,Phrygias,465.7734375,-28.15625,2
1107,Orc Camp,0,WOD_OrcCamp_Small_01,478,3,69,93,478690393,Phrygias,478.5390625,-3.2734375,2
1110,Orc Camp,0,WOD_OrcCamp_Medium_01,463,5,55,86,463550586,Phrygias,463.4296875,-5.328125,2
1111,Orc Camp,0,WOD_OrcCamp_Medium_02,497,17,35,17,497351717,Phrygias,497.2734375,-17.8671875,2
1119,Orc Camp,0,WOD_OrcCamp_Medium_03,475,13,94,91,47511413120,Phrygias,475.890625,-13.0625,2
1123,Orc Camp,0,WOD_OrcCamp_Small_03,443,9,65,44,443650944,Phrygias,443.5078125,-9.65625,2
1125,Orc Camp,0,WOD_OrcCamp_Medium_02,487,2,108,83,4871080283,Phrygias,487.84375,-2.3515625,2
1127,Orc Camp,0,WOD_OrcCamp_Large_01,478,2,73,102,4787302102,Phrygias,478.5703125,-2.203125,2
1129,Orc Camp,0,WOD_OrcCamp_Small_02,483,18,54,110,4835418110,Phrygias,483.421875,-18.140625,2
1131,Orc Camp,0,WOD_OrcCamp_Medium_01,454,2,79,23,454790223,Phrygias,454.6171875,-2.8203125,2
1137,Orc Camp,0,WOD_OrcCamp_Small_03,465,19,41,35,465411935,Phrygias,465.3203125,-19.7265625,2
1140,Orc Camp,0,WOD_OrcCamp_Medium_03,487,5,84,85,487880591,Phrygias,487.6875,-5.2890625,2
1148,Orc Camp,0,WOD_OrcCamp_Large_01,473,27,106,22,4731182722,Phrygias,473.921875,-27.828125,2
1155,Orc Camp,0,WOD_OrcCamp_Large_01,479,2,22,72,479060272,Phrygias,479.046875,-2.4375,2
1157,Orc Camp,0,WOD_OrcCamp_Small_02,449,15,65,18,449651518,Phrygias,449.5078125,-15.859375,2
1158,Orc Camp,0,WOD_OrcCamp_Small_03,464,14,88,65,464881465,Phrygias,464.6875,-14.4921875,2
1161,Orc Camp,0,WOD_OrcCamp_Medium_03,457,3,39,72,457200372,Phrygias,457.15625,-3.4375,2
1165,Orc Camp,0,WOD_OrcCamp_Small_03,500,9,110,70,5001100970,Phrygias,500.859375,-9.453125,2
1178,Orc Camp,0,WOD_OrcCamp_Small_02,455,15,59,28,455591528,Phrygias,455.4609375,-15.78125,2
1182,Orc Camp,0,WOD_OrcCamp_Medium_03,457,11,39,87,4570611106,Phrygias,457.046875,-11.171875,2
109,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_01,563,5,99,69,563990569,Phrygias,563.7734375,-5.4609375,4
110,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_02,565,7,31,90,565310790,Phrygias,565.2421875,-7.296875,4
482,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_03,609,15,44,45,609141545,Phrygias,609.109375,-15.6484375,4
483,Orc Camp,0,WOD_OrcCamp_Large_Mountains_01,608,17,95,110,6089517115,Phrygias,608.7421875,-17.1015625,4
484,Orc Camp,0,WOD_OrcCamp_Small_Mountains_01,600,22,40,93,600402293,Phrygias,600.3125,-22.2734375,4
485,Orc Camp,0,WOD_OrcCamp_Small_Mountains_02,601,21,35,5,601352100,Phrygias,601.2734375,-22,4
740,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_02,578,7,121,81,5781250781,Phrygias,578.9765625,-7.3671875,4
