fid,name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate
4,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,813,202,28,114,Menevia,813.21875,-202.109375,1.0
82,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,832,188,65,99,Menevia,832.5078125,-188.2265625,1.0
88,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,826,203,90,61,Menevia,826.703125,-203.5234375,1.0
112,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,841,170,116,86,Menevia,841.96875,-170.328125,1.0
122,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,836,197,73,35,Menevia,836.5703125,-197.7265625,1.0
152,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,828,175,40,115,Menevia,828.3125,-175.0390625,1.0
191,Logging Camp,0,WOD_LoggingCamp_Small_Mountains,,826,184,104,90,Menevia,826.8125,-184.296875,1.0
214,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,812,183,93,104,Menevia,812.7265625,-183.1875,1.0
246,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,799,202,102,27,Menevia,799.796875,-202.7890625,1.0
311,Logging Camp,0,WOD_LoggingCamp_Small_Mountains,,830,156,97,13,Menevia,830.7578125,-156.9296875,3.0
319,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,847,155,9,54,Menevia,847.0234375,-155.578125,3.0
