fid,name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate
1943,Orc Camp,0,WOD_OrcCamp_Medium_01,787,215,41,115,78741215127,Menevia,787.3203125,-215.0078125,0
442,Orc Camp,0,WOD_OrcCamp_Small_01,841,181,120,101,841120181101,Menevia,841.9375,-181.2109375,1
443,Orc Camp,0,WOD_OrcCamp_Small_02,840,179,123,15,84012517915,Menevia,840.9765625,-179.8828125,1
444,Orc Camp,0,WOD_OrcCamp_Small_03,841,179,102,81,84110217981,Menevia,841.796875,-179.3671875,1
445,Orc Camp,0,WOD_OrcCamp_Medium_01,801,182,82,61,8018218261,Menevia,801.640625,-182.5234375,1
446,Orc Camp,0,WOD_OrcCamp_Medium_02,803,183,31,106,80331183106,Menevia,803.2421875,-183.171875,1
447,Orc Camp,0,WOD_OrcCamp_Medium_03,802,181,83,44,80210418126,Menevia,802.8125,-181.796875,1
1219,Orc Camp,0,WOD_OrcCamp_Small_01,801,189,113,111,801113189111,Menevia,801.8828125,-189.1328125,1
1231,Orc Camp,0,WOD_OrcCamp_Medium_03,791,208,83,83,79112720883,Menevia,791.9921875,-208.3515625,1
1358,Orc Camp,0,WOD_OrcCamp_Large_01,810,205,86,38,8108620538,Menevia,810.671875,-205.703125,1
1368,Orc Camp,0,WOD_OrcCamp_Small_03,844,190,113,76,84411319076,Menevia,844.8828125,-190.40625,1
1378,Orc Camp,0,WOD_OrcCamp_Medium_03,812,206,88,42,81211620635,Menevia,812.90625,-206.7265625,1
1901,Orc Camp,0,WOD_OrcCamp_Medium_01,806,189,33,73,8063318973,Menevia,806.2578125,-189.4296875,1
1902,Orc Camp,0,WOD_OrcCamp_Medium_02,835,203,115,28,83511520328,Menevia,835.8984375,-203.78125,1
1903,Orc Camp,0,WOD_OrcCamp_Medium_03,847,182,84,45,84711618245,Menevia,847.90625,-182.6484375,1
1904,Orc Camp,0,WOD_OrcCamp_Large_01,803,212,49,102,80349212102,Menevia,803.3828125,-212.203125,1
1905,Orc Camp,0,WOD_OrcCamp_Small_01,825,170,26,14,8252617014,Menevia,825.203125,-170.890625,1
1906,Orc Camp,0,WOD_OrcCamp_Small_02,813,171,77,123,81377171127,Menevia,813.6015625,-171.0078125,1
1907,Orc Camp,0,WOD_OrcCamp_Small_03,804,169,36,78,8043616978,Menevia,804.28125,-169.390625,1
1908,Orc Camp,0,WOD_OrcCamp_Medium_01,795,208,58,13,7955820813,Menevia,795.453125,-208.8984375,1
1910,Orc Camp,0,WOD_OrcCamp_Medium_03,807,176,42,85,8070417688,Menevia,807.03125,-176.3125,1
1911,Orc Camp,0,WOD_OrcCamp_Large_01,832,175,19,29,8321917529,Menevia,832.1484375,-175.7734375,1
1912,Orc Camp,0,WOD_OrcCamp_Small_01,825,195,6,49,8250119549,Menevia,825.0078125,-195.6171875,1
