Location,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate,LocationType
Tower Kinghart,2.0,WOD_Dock_Small_01,0.0,589,148,64,0,Bhoriane,589.4921875,-148.5,1.0,DungeonKeep
The Stronghold of Ashfield,2.0,WOD_Dock_Small_01,180.0,713,135,64,127,Alcaire,713.5,-135.671875,1.0,DungeonKeep
The Tower of Coppersly,2.0,WOD_Dock_Small_01,180.0,758,140,64,127,Alcaire,758.5234375,-140.578125,1.0,DungeonKeep
The Stronghold of Gaercroft,2.0,WOD_Dock_Small_01,0.0,900,264,64,0,Wayrest,900.546875,-264.4609375,1.0,DungeonKeep
The Hold of Gav'kern,2.0,WOD_HF_Dock_Small_01,45.0,770,281,127,127,Lainlyn,770.5625,-281.4921875,5.0,DungeonKeep
The Hold of Gort,2.0,WOD_HF_Dock_Small_01,0.0,704,281,64,0,Lainlyn,704.5390625,-281.4921875,5.0,DungeonKeep
Tower Klolpon,2.0,WOD_HF_Dock_Small_01,180.0,398,346,64,127,Sentinel,398.5703125,-346.5,7.0,DungeonKeep
Tower Dejom,2.0,WOD_HF_Dock_Small_01,0.0,378,345,64,0,Sentinel,378.4375,-345.53125,7.0,DungeonKeep
Castle Mormun,2.0,WOD_HF_Dock_Small_01,-90.0,276,406,0,64,Myrkwasa,276.53125,-406.53125,7.0,DungeonKeep
Stifylir's Guard,2.0,WOD_HF_Dock_Small_01,0.0,205,433,64,0,Kairou,205.4375,-433.5390625,7.0,DungeonKeep
The Tower of T'ircten,2.0,WOD_HF_Dock_Small_01,-90.0,168,468,0,64,Abibon-gora,168.5078125,-468.6015625,7.0,DungeonKeep
Lhur's Hold,2.0,WOD_HF_Dock_Small_01,0.0,164,476,64,0,Abibon-gora,164.5078125,-476.546875,7.0,DungeonKeep
The Tower of Ghorkke,2.0,WOD_Dock_Small_01,-45.0,849,269,127,0,Satakalaam,849.546875,-269.421875,5.0,DungeonKeep
The Hold of Hawkcroft,,,,242,194,67,45,Daggerfall,242.5234375,-194.6484375,1.0,DungeonKeep
Castle Wickhart,,,,483,41,56,60,Phrygias,483.4375,-41.53125,1.0,DungeonKeep
The Tower of Moorhouse,,,,459,150,69,54,Anticlere,459.5390625,-150.578125,1.0,DungeonKeep
Castle Faallem,,,,404,325,59,54,Sentinel,404.4609375,-325.578125,7.0,DungeonKeep
Castle Rlirchem,,,,919,351,74,56,Totambu,919.578125,-351.5625,5.0,DungeonKeep
Castle Vlorgten,,,,695,292,68,65,Lainlyn,695.53125,-292.4921875,5.0,DungeonKeep
