Location,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate,LocationType
Westhead Moor,2.0,WOD_Dock_Lighthouse_Medium_01,-90.0,207,223,0,64,Daggerfall,207.390625,-223.3515625,1.0,TownCity
Gallocart,2.0,WOD_Dock_Medium_01,135.0,92,157,0,127,Tulune,92.546875,-157.421875,1.0,TownVillage
Inner Light of Stendarr,2.0,WOD_Dock_Lighthouse_Small_01,90.0,622,115,127,64,Bhoriane,622.3671875,-115.453125,1.0,ReligionTemple
The Buckinghart Plantation,2.0,WOD_Dock_Small_01,180.0,735,135,64,127,Alcaire,735.4765625,-135.546875,1.0,HomeFarms
The Gaerhouse Plantation,2.0,WOD_Dock_Lighthouse_Small_01,-180.0,629,158,64,127,Isle of Balfiera,629.5,-158.5625,1.0,HomeFarms
Fearful Redeemer of Julianos,2.0,WOD_HF_Dock_Small_01,0.0,866,289,64,0,Satakalaam,866.5078125,-289.5078125,5.0,ReligionTemple
The Mole and Giant Tavern,2.0,WOD_HF_Dock_Small_01,0.0,141,495,64,0,Abibon-gora,141.4375,-495.5234375,7.0,Tavern
Tsetudax,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,144,493,64,0,Abibon-gora,144.4921875,-493.5,7.0,TownVillage
Cudogudax,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,159,478,64,0,Abibon-gora,159.4375,-478.5234375,7.0,TownVillage
Singing Soul of Julianos,2.0,WOD_HF_Dock_Small_01,-90.0,169,473,0,64,Abibon-gora,169.4921875,-473.5,7.0,ReligionTemple
Singing Idol of Julianos,2.0,WOD_HF_Dock_Small_01,-90.0,171,463,0,64,Abibon-gora,171.4921875,-463.5,7.0,ReligionTemple
Kieran Theatre,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,173,461,64,0,Abibon-gora,173.4375,-461.5234375,7.0,ReligionCult
Papyrydai,2.0,WOD_HF_Dock_Lighthouse_Medium_01,-90.0,174,455,0,64,Abibon-gora,174.4921875,-455.5,7.0,TownVillage
Damu-Ij,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,180,451,64,0,Abibon-gora,180.4375,-451.5234375,7.0,TownHamlet
Old D'urdca's Shack,2.0,WOD_HF_Dock_Small_01,0.0,186,451,64,0,Abibon-gora,186.4375,-451.5234375,7.0,HomePoor
The Moorsley Farmstead,2.0,WOD_Dock_Small_01,180.0,701,133,64,127,Alcaire,701.4765625,-133.546875,1.0,HomeFarms
Cathborne,2.0,WOD_Dock_Medium_01,180.0,718,133,64,127,Alcaire,718.4765625,-133.546875,1.0,TownHamlet
Gaerhart Manor,2.0,WOD_Dock_Small_01,180.0,745,138,64,127,Alcaire,745.4765625,-138.546875,1.0,HomeWealthy
Wargate,2.0,WOD_Dock_Lighthouse_Medium_01,180.0,760,140,64,127,Alcaire,760.4765625,-140.546875,1.0,TownVillage
The Laughing Cat Hostel,2.0,WOD_Dock_Small_01,180.0,788,151,64,127,Alcaire,788.4765625,-151.546875,4.0,Tavern
Aldwall Rock,2.0,WOD_Anticlere_Dock_Lighthouse_Medium_01,-90.0,401,183,0,64,Anticlere,401.546875,-183.53125,1.0,TownCity
Crossleigh,2.0,WOD_Dock_Medium_01,180.0,401,175,64,127,Anticlere,401.46875,-175.546875,1.0,TownVillage
