Location,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,LocationType
Gaerhart Manor,2.0,WOD_Dock_Small_01,180.0,745,138,64,127,7456113858,Alcaire,745.4765625,-138.546875,1.0,HomeWealthy
Yeomhart Manor,2.0,WOD_Dock_Lighthouse_Small_01,0.0,361,192,64,0,3617319267,Anticlere,361.5703125,-192.4765625,1.0,HomeWealthy
Hawkwing Palace,2.0,WOD_Dock_Small_01,180.0,499,158,64,127,4995515828,Anticlere,499.4296875,-158.78125,1.0,HomeWealthy
Moorcroft Court,2.0,WOD_Dock_Small_01,180.0,561,137,64,127,5616113756,Bhoriane,561.4765625,-137.5625,1.0,HomeWealthy
Ashsly Hall,2.0,WOD_Dock_Small_01,-90.0,205,226,0,64,2055822664,Daggerfall,205.453125,-226.5,1.0,HomeWealthy
Kinging Court,2.0,WOD_Dock_Lighthouse_Small_01,180.0,209,228,64,127,2096422845,Daggerfall,209.5,-228.6484375,1.0,HomeWealthy
Copperfield Manor,2.0,WOD_Dock_Small_01,180.0,207,214,64,127,2077321454,Daggerfall,207.5703125,-214.578125,1.0,HomeWealthy
Masterston Court,2.0,WOD_Dock_Small_01,180.0,140,241,64,127,1406124156,Daggerfall,140.4765625,-241.5625,1.0,HomeWealthy
Kingford Palace,2.0,WOD_Dock_Small_01,-90.0,513,149,0,64,5135214958,Dwynnen,513.40625,-149.546875,1.0,HomeWealthy
Hawking Palace,2.0,WOD_Dock_Small_01,180.0,535,143,64,127,5356114365,Dwynnen,535.4765625,-143.4921875,1.0,HomeWealthy
Ashfield Hall,2.0,WOD_Dock_Small_01,90.0,547,139,127,64,5475013958,Dwynnen,547.390625,-139.546875,1.0,HomeWealthy
Tlactrn Manor,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,202,435,64,0,2025643561,Kairou,202.4375,-435.5234375,7.0,HomeWealthy
Torch Manor,2.0,WOD_HF_Dock_Small_01,0.0,687,283,64,0,6876528363,Lainlyn,687.5078125,-283.5078125,5.0,HomeWealthy
Stuld Hall,2.0,WOD_HF_Dock_Small_01,0.0,747,280,64,0,7476528063,Lainlyn,747.5078125,-280.5078125,5.0,HomeWealthy
Blarcan Hall,2.0,WOD_HF_Dock_Small_01,0.0,764,278,64,0,7646527863,Lainlyn,764.5078125,-278.5078125,5.0,HomeWealthy
Buckingsmith Manor,2.0,WOD_Dock_Small_01,0.0,210,14,64,0,210641467,Northmoor,210.5,-14.4765625,1.0,HomeWealthy
Shrald Court,2.0,WOD_HF_Dock_Small_01,0.0,817,278,64,0,8176527863,Satakalaam,817.5078125,-278.5078125,5.0,HomeWealthy
M'arkam Manor,2.0,WOD_HF_Dock_Small_01,0.0,843,278,64,0,8436527863,Satakalaam,843.5078125,-278.5078125,5.0,HomeWealthy
Cellen Hall,2.0,WOD_HF_Dock_Small_01,0.0,842,294,64,0,8426529463,Satakalaam,842.5078125,-294.5078125,5.0,HomeWealthy
Rlect Hall,2.0,WOD_HF_Dock_Small_01,180.0,825,264,64,127,8256426482,Satakalaam,825.5,-264.359375,5.0,HomeWealthy
Rhorkke Hall,2.0,WOD_HF_Dock_Small_01,180.0,409,328,64,127,4096732876,Sentinel,409.5234375,-328.40625,7.0,HomeWealthy
Hawksley Hall,2.0,WOD_Dock_Small_01,180.0,892,258,64,127,8926125858,Wayrest,892.4765625,-258.546875,1.0,HomeWealthy
Coppersly Hall,2.0,WOD_Dock_Small_01,180.0,925,261,64,127,9256126158,Wayrest,925.4765625,-261.546875,1.0,HomeWealthy
Moorcroft Manor,,nan,,245,196,60,65,2456019665,Daggerfall,245.46875,-196.4921875,1.0,HomeWealthy
Woodston Manor,,nan,,473,121,60,77,4736012177,Urvaius,473.46875,-121.3984375,1.0,HomeWealthy
Sharcer Manor,,nan,,916,341,78,59,9167834159,Totambu,916.609375,-341.5390625,5.0,HomeWealthy
T'orkun Manor,,nan,,918,357,65,61,9186535761,Totambu,918.5078125,-357.5234375,5.0,HomeWealthy
