Location,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate,LocationType
Damu-Ij,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,180,451,64,0,Abibon-gora,180.4375,-451.5234375,7.0,TownHamlet
Cathborne,2.0,WOD_Dock_Medium_01,180.0,718,133,64,127,Alcaire,718.4765625,-133.546875,1.0,TownHamlet
Ipspath,2.0,WOD_Anticlere_Dock_Lighthouse_Medium_01,0.0,358,193,64,0,Anticlere,358.5703125,-193.4765625,1.0,TownHamlet
Wilderleigh,2.0,WOD_Dock_Lighthouse_Small_01,180.0,558,137,64,127,Bhoriane,558.4765625,-137.5625,1.0,TownHamlet
Arkbeth Garden,2.0,WOD_Dock_Lighthouse_Small_01,180.0,583,138,64,127,Bhoriane,583.4765625,-138.546875,1.0,TownHamlet
Stokbrone,2.0,WOD_Dock_Medium_01,180.0,652,112,64,127,Bhoriane,652.4765625,-112.546875,1.0,TownHamlet
Whitecroft,2.0,WOD_Dock_Lighthouse_Medium_01,180.0,102,199,64,127,Daggerfall,102.5,-199.2890625,1.0,TownHamlet
Holmarket,2.0,WOD_Dock_Lighthouse_Small_01,-90.0,111,199,0,64,Daggerfall,111.578125,-199.203125,1.0,TownHamlet
Vanvale,2.0,WOD_Dock_Medium_01,-90.0,294,214,0,64,Daggerfall,294.546875,-214.5,1.0,TownHamlet
Fonthope End,2.0,WOD_Dock_Lighthouse_Small_01,0.0,146,235,64,0,Daggerfall,146.5,-235.578125,1.0,TownHamlet
Tambridge,2.0,WOD_Dock_Medium_01,0.0,79,73,64,0,Glenumbra Moors,79.4765625,-73.390625,1.0,TownHamlet
Deerpath,2.0,WOD_Dock_Medium_01,-90.0,77,77,0,64,Glenumbra Moors,77.3984375,-77.4765625,1.0,TownHamlet
Warwych,2.0,WOD_Balfiera_Dock_Lighthouse_Small_01,,631,162,58,61,Isle of Balfiera,631.453125,-162.5234375,1.0,TownHamlet
Pilliweyn,2.0,WOD_HF_Dock_Small_01,0.0,685,284,64,0,Lainlyn,685.5078125,-284.5078125,5.0,TownHamlet
Pythohajer,2.0,WOD_HF_Dock_Medium_01,0.0,702,281,64,0,Lainlyn,702.5078125,-281.5078125,5.0,TownHamlet
Morilliton,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,741,281,64,0,Lainlyn,741.5078125,-281.5078125,5.0,TownHamlet
Baghascuwan,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,766,279,64,0,Lainlyn,766.5078125,-279.5078125,5.0,TownHamlet
Meseraara,2.0,WOD_HF_Dock_Lighthouse_Medium_01,0.0,962,278,64,0,Mournoth,962.5078125,-278.5078125,5.0,TownHamlet
Knightshope,2.0,WOD_Dock_Medium_01,0.0,229,5,64,0,Northmoor,229.5234375,-5.4609375,1.0,TownHamlet
Lopadai,2.0,WOD_HF_Dock_Lighthouse_Small_01,-90.0,798,277,0,64,Satakalaam,798.4921875,-277.5,5.0,TownHamlet
Javibia,2.0,WOD_HF_Dock_Lighthouse_Small_01,-90.0,847,269,0,64,Satakalaam,847.4609375,-269.5390625,5.0,TownHamlet
Pallaton,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,392,341,64,0,Sentinel,392.5078125,-341.5078125,7.0,TownHamlet
Isfakabi,2.0,WOD_HF_Dock_Lighthouse_Small_01,180.0,392,351,64,127,Sentinel,392.453125,-351.5,7.0,TownHamlet
Cudakasa,2.0,WOD_HF_Sentinel_Dock_Lighthouse_Medium_01,0.0,407,373,64,0,Sentinel,407.5078125,-373.5078125,7.0,TownHamlet
Bubumbaret,2.0,WOD_HF_Sentinel_Dock_Lighthouse_Medium_01,0.0,415,373,64,0,Sentinel,415.5078125,-373.5078125,7.0,TownHamlet
Bubaaqja,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,427,373,64,0,Sentinel,427.5078125,-373.5078125,7.0,TownHamlet
Paponirea,2.0,WOD_HF_Dock_Small_01,0.0,516,313,64,0,Tigonus,516.5078125,-313.5078125,6.0,TownHamlet
Millitor,2.0,WOD_HF_Dock_Small_01,0.0,518,312,64,0,Tigonus,518.5078125,-312.5078125,6.0,TownHamlet
Wadijerareg,2.0,WOD_HF_Dock_Medium_01,0.0,552,297,64,0,Tigonus,552.5078125,-297.5078125,6.0,TownHamlet
Baghada,2.0,WOD_HF_Dock_Small_01,0.0,530,308,64,0,Tigonus,530.5078125,-308.5078125,6.0,TownHamlet
Chestertower,2.0,WOD_Dock_Lighthouse_Small_01,-90.0,854,236,0,64,Wayrest,854.4765625,-236.4296875,1.0,TownHamlet
Aldingshire,2.0,WOD_Dock_Small_01,90.0,839,249,127,64,Wayrest,839.5390625,-249.546875,5.0,TownHamlet
Vanhope Hall,2.0,WOD_Dock_Lighthouse_Small_01,180.0,907,258,64,127,Wayrest,907.4765625,-258.546875,1.0,TownHamlet
Grayville Court,2.0,WOD_Dock_Small_01,0.0,907,262,64,0,Wayrest,907.5234375,-262.5078125,1.0,TownHamlet
Aldingbridge Moor,2.0,WOD_Dock_Lighthouse_Small_01,180.0,956,265,64,127,Wayrest,956.4765625,-265.546875,1.0,TownHamlet
Wartry Moor,2.0,WOD_Dock_Lighthouse_Small_01,180.0,964,266,64,127,Wayrest,964.4765625,-266.546875,1.0,TownHamlet
Aldbrugh,2.0,WOD_Dock_Lighthouse_Small_01,135.0,333,202,0,127,Shalgora,333.46875,-202.5,1.0,TownHamlet
Tuncart,,,,860,195,59,68,Wayrest,860.4609375,-195.46875,1.0,TownHamlet
Cathlech,,,,855,194,63,63,Wayrest,855.4921875,-194.5078125,1.0,TownHamlet
Whitewych Commons,,,,463,148,69,59,Anticlere,463.5390625,-148.5390625,1.0,TownHamlet
Whitefort,,,,119,263,64,60,Betony,119.5,-263.53125,1.0,TownHamlet
