name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate,LocationType
Westhead Moor,2,WOD_Dock_Lighthouse_Large_01,-90,207,223,1,64,Daggerfall,207.390625,-223.3515625,1.0,TownCity
Aldwall Rock,2,WOD_Anticlere_Dock_Lighthouse_Large_01,-90,401,183,0,64,Anticlere,401.546875,-183.53125,1.0,TownCity
Daggerfall,2,WOD_Dock_Medium_01,180,209,214,64,127,Daggerfall,209.5703125,-214.578125,1.0,TownCity
Daggerfall,2,WOD_Dock_Large_01,180,210,214,64,127,Daggerfall,210.5703125,-214.578125,1.0,TownCity
Daggerfall,2,WOD_Daggerfall_Dock_Lighthouse_Large_01,180,211,214,64,127,Daggerfall,211.5703125,-214.578125,1.0,TownCity
Kalunnunu,2,WOD_Dock_Lighthouse_Large_01,0,754,279,64,0,Lainlyn,754.5078125,-279.5078125,5.0,TownCity
Gothcroft,2,WOD_Dock_Lighthouse_Large_01,-90,127,42,0,64,Northmoor,127.5234375,-42.421875,1.0,TownCity
Naresa,2,WOD_HF_Sentinel_Dock_Lighthouse_Large_01,-90,370,350,0,64,Sentinel,370.4921875,-350.5,7.0,TownCity
Sentinel,2,WOD_HF_Sentinel_Dock_Lighthouse_Large_01,45,397,342,127,127,Sentinel,397.5703125,-342.46875,7.0,TownCity
Bubissidata,2,WOD_HF_Sentinel_Dock_Lighthouse_Large_01,-135,404,327,0,0,Sentinel,404.4609375,-327.5,7.0,TownCity
Antelibuton,2,WOD_HF_Dock_Lighthouse_Large_01,0,558,296,64,0,Tigonus,558.5078125,-296.5078125,6.0,TownCity
Penwall Derry,2,WOD_Wayrest_Dock_Lighthouse_Large_01,90,846,243,127,64,Wayrest,846.5390625,-243.546875,0.0,TownCity
Tunmont,2,WOD_Wayrest_Dock_Lighthouse_Large_01,180,975,273,64,127,Wayrest,975.4765625,-273.546875,1.0,TownCity
Wayrest,2,WOD_Wayrest_Dock_Lighthouse_Large_01,-45,859,244,127,0,Wayrest,859.4765625,-244.4296875,1.0,TownCity
Eastwold,2,WOD_Wayrest_Dock_Lighthouse_Large_01,-135,884,255,0,0,Wayrest,884.53125,-255.46875,1.0,TownCity
