Location,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate,LocationType
Gallocart,2.0,WOD_Dock_Medium_01,135.0,92,157,0,127,Tulune,92.546875,-157.421875,1.0,TownVillage
Tsetudax,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,144,493,64,0,Abibon-gora,144.4921875,-493.5,7.0,TownVillage
Cudogudax,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,159,478,64,0,Abibon-gora,159.4375,-478.5234375,7.0,TownVillage
Papyrydai,2.0,WOD_HF_Dock_Lighthouse_Medium_01,-90.0,174,455,0,64,Abibon-gora,174.4921875,-455.5,7.0,TownVillage
Wargate,2.0,WOD_Dock_Lighthouse_Medium_01,180.0,760,140,64,127,Alcaire,760.4765625,-140.546875,1.0,TownVillage
Crossleigh,2.0,WOD_Dock_Medium_01,180.0,401,175,64,127,Anticlere,401.46875,-175.546875,1.0,TownVillage
Cathwold Heath,2.0,WOD_Anticlere_Dock_Lighthouse_Medium_01,180.0,406,187,64,127,Anticlere,406.46875,-187.546875,1.0,TownVillage
Vanwood Hollow,2.0,WOD_Anticlere_Dock_Lighthouse_Large_01,0.0,353,195,64,0,Anticlere,353.5703125,-195.4765625,1.0,TownVillage
Wilderbury Rock,2.0,WOD_Anticlere_Dock_Lighthouse_Medium_01,180.0,366,197,64,127,Anticlere,366.5,-197.453125,1.0,TownVillage
Umbopala,2.0,WOD_HF_Dock_Lighthouse_Medium_01,0.0,449,364,64,0,Ayasofya,449.5078125,-364.5078125,7.0,TownVillage
Kirkbeth Hamlet,2.0,WOD_Dock_Lighthouse_Medium_01,-90.0,114,255,0,64,Betony,114.4609375,-255.46875,1.0,TownVillage
Wartale,2.0,WOD_Dock_Medium_01,0.0,588,139,64,0,Bhoriane,588.4765625,-139.546875,1.0,TownVillage
Fontbridge,2.0,WOD_Dock_Medium_01,180.0,637,113,64,127,Bhoriane,637.4765625,-113.5390625,1.0,TownVillage
Ipsmoth,2.0,WOD_Dock_Lighthouse_Small_01,,609,145,58,61,Bhoriane,609.453125,-145.5234375,1.0,TownVillage
Holwych,2.0,WOD_Dock_Medium_01,180.0,118,201,64,127,Daggerfall,118.5,-201.2890625,1.0,TownVillage
Fontborne,2.0,WOD_Daggerfall_Dock_Lighthouse_Medium_01,-90.0,160,221,0,64,Daggerfall,160.390625,-221.4296875,1.0,TownVillage
Longwich End,2.0,WOD_Dock_Medium_01,180.0,169,225,64,127,Daggerfall,169.5,-225.5234375,1.0,TownVillage
Wilderham,2.0,WOD_Dock_Medium_01,180.0,178,224,64,127,Daggerfall,178.5,-224.5234375,1.0,TownVillage
Midbrugh,2.0,WOD_Daggerfall_Dock_Lighthouse_Medium_01,90.0,198,217,127,64,Daggerfall,198.578125,-217.5703125,1.0,TownVillage
Blackcart Hollow,2.0,WOD_Daggerfall_Dock_Lighthouse_Medium_01,90.0,297,214,127,64,Daggerfall,297.421875,-214.3671875,1.0,TownVillage
Aldpath Hall,2.0,WOD_Daggerfall_Dock_Lighthouse_Medium_01,180.0,144,239,64,127,Daggerfall,144.4765625,-239.5625,1.0,TownVillage
Grimton,2.0,WOD_Dock_Medium_01,0.0,143,236,64,0,Daggerfall,143.5,-236.578125,1.0,TownVillage
Madla,2.0,WOD_Dock_Lighthouse_Small_01,0.0,597,285,64,0,Dragontail Mountains,597.5078125,-285.5078125,4.0,TownVillage
Gallomarket,2.0,WOD_Balfiera_Dock_Lighthouse_Small_01,-90.0,644,166,0,64,Isle of Balfiera,644.4765625,-166.5390625,1.0,TownVillage
Syrotubu,2.0,WOD_HF_Dock_Lighthouse_Medium_01,0.0,658,281,64,0,Lainlyn,658.5078125,-281.5078125,4.0,TownVillage
Papiladisu,2.0,WOD_HF_Dock_Medium_01,0.0,674,286,64,0,Lainlyn,674.5078125,-286.5078125,5.0,TownVillage
Syrallao,2.0,WOD_HF_Dock_Lighthouse_Large_01,0.0,699,281,64,0,Lainlyn,699.5078125,-281.5078125,5.0,TownVillage
Chesterbrugh,2.0,WOD_Dock_Lighthouse_Large_01,180.0,791,216,64,127,Menevia,791.4765625,-216.546875,1.0,TownVillage
Wadijilanis,2.0,WOD_HF_Dock_Medium_01,0.0,898,285,64,0,Mournoth,898.5078125,-285.5078125,5.0,TownVillage
Elissinia,2.0,WOD_HF_Dock_Medium_01,0.0,279,403,64,0,Myrkwasa,279.4375,-403.5234375,7.0,TownVillage
Stokwall,2.0,WOD_Dock_Lighthouse_Medium_01,-90.0,219,8,0,64,Northmoor,219.4921875,-8.546875,1.0,TownVillage
Vanpath,2.0,WOD_Dock_Lighthouse_Medium_01,0.0,162,34,64,0,Northmoor,162.4296875,-34.421875,1.0,TownVillage
Longham,2.0,WOD_Dock_Lighthouse_Small_01,0.0,152,35,64,0,Northmoor,152.5,-35.5,1.0,TownVillage
Burgcart Heath,2.0,WOD_Dock_Lighthouse_Small_01,-90.0,124,45,0,64,Northmoor,124.5234375,-45.421875,1.0,TownVillage
Berbajan,2.0,WOD_HF_Dock_Lighthouse_Medium_01,0.0,266,406,64,0,Pothago,266.4375,-406.5234375,7.0,TownVillage
Berbajan,2.0,WOD_HF_Dock_Lighthouse_Small_01,45.0,266,406,127,127,Pothago,266.59375,-406.5,7.0,TownVillage
Tulajidax,2.0,WOD_HF_Dock_Lighthouse_Medium_01,45.0,779,283,127,127,Satakalaam,779.4921875,-283.5,5.0,TownVillage
Pibuda,2.0,WOD_HF_Sentinel_Dock_Lighthouse_Medium_01,0.0,329,376,64,0,Sentinel,329.5078125,-376.5078125,7.0,TownVillage
Zenuhno,2.0,WOD_HF_Sentinel_Dock_Lighthouse_Medium_01,0.0,347,359,64,0,Sentinel,347.4921875,-359.5,7.0,TownVillage
Zenuhno,2.0,WOD_HF_Dock_Medium_01,180.0,347,359,64,127,Sentinel,347.53125,-359.4609375,7.0,TownVillage
Mji-Ij,2.0,WOD_HF_Sentinel_Dock_Lighthouse_Medium_01,0.0,347,357,64,0,Sentinel,347.5078125,-357.5078125,7.0,TownVillage
Antelajda,2.0,WOD_HF_Sentinel_Dock_Lighthouse_Medium_01,0.0,355,358,64,0,Sentinel,355.5078125,-358.5078125,7.0,TownVillage
Jalonia,2.0,WOD_HF_Sentinel_Dock_Lighthouse_Medium_01,0.0,375,347,64,0,Sentinel,375.5078125,-347.5078125,7.0,TownVillage
Ageliret,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,387,344,64,0,Sentinel,387.5078125,-344.5078125,7.0,TownVillage
Mesiton,2.0,WOD_HF_Dock_Lighthouse_Small_01,180.0,396,348,64,127,Sentinel,396.453125,-348.5,7.0,TownVillage
Zagumba-Kom,2.0,WOD_HF_Dock_Lighthouse_Small_01,90.0,382,361,127,64,Sentinel,382.59375,-361.5,7.0,TownVillage
