name,type,prefab,worldX,worldY,locationID,terrainX,terrainY,region,gisX,gixY,rotYaxis,heightOffset
Rocks,1,WOD_Rocks_Small_10,136,499,13631499128,31,128,Abibon-gora,136.2421875,-499,101,0
Rocks,1,WOD_Rocks_Medium_11,147,490,14775490125,75,125,Abibon-gora,147.5859375,-490.0234375,-12,-9
Rocks,1,WOD_Rocks_Medium_04,136,499,13668499115,68,115,Abibon-gora,136.53125,-499.1015625,-29,0
Rocks,1,WOD_Rocks_Large_02,152,484,1521448438,14,38,Abibon-gora,152.109375,-484.703125,-91,-2
Rocks,1,WOD_Rocks_Small_02,163,493,163109493104,109,104,Abibon-gora,163.8515625,-493.1875,-130,0
Rocks,1,WOD_Rocks_Medium_10,176,459,17611245956,112,56,Abibon-gora,176.875,-459.5625,-130,-13
Rocks,1,WOD_Rocks_Small_06,182,450,1822645035,26,35,Abibon-gora,182.203125,-450.7265625,-163,0
Rocks,1,WOD_Rocks_Small_08,157,479,1573947931,39,31,Abibon-gora,157.3046875,-479.7578125,104,0
Rocks,1,WOD_Rocks_Small_10,171,465,17127465114,27,114,Abibon-gora,171.2109375,-465.109375,-128,0
Rocks,1,WOD_Rocks_Medium_09,136,498,13611549829,115,29,Abibon-gora,136.8984375,-498.7734375,152,-28
Rocks,1,WOD_Rocks_Small_05,174,460,1744746046,47,46,Abibon-gora,174.3671875,-460.640625,44,0
Rocks,1,WOD_Rocks_Small_01,170,466,17094466100,94,100,Abibon-gora,170.734375,-466.21875,-160,0
Rocks,1,WOD_Rocks_Medium_11,170,461,1704746175,47,75,Abibon-gora,170.3671875,-461.4140625,169,0
Rocks,1,WOD_Rocks_Small_05,178,456,1781545620,15,20,Abibon-gora,178.1171875,-456.84375,-100,0
Rocks,1,WOD_Rocks_Medium_02,175,450,1752745078,27,78,Abibon-gora,175.2109375,-450.390625,-133,-20
Rocks,1,WOD_Rocks_Medium_01,170,466,17081466122,81,122,Abibon-gora,170.6328125,-466.046875,65,-1
Rocks,1,WOD_Rocks_Medium_03,172,451,17210245101,102,1,Abibon-gora,172.796875,-451.9921875,155,-26
Rocks,1,WOD_Rocks_Small_08,176,450,1765345090,53,90,Abibon-gora,176.4140625,-450.296875,-85,0
Rocks,1,WOD_Rocks_Medium_10,145,491,1457549178,75,78,Abibon-gora,145.5859375,-491.390625,-24,-7
Rocks,1,WOD_Rocks_Large_05,166,476,1668547644,85,44,Abibon-gora,166.6640625,-476.65625,141,-29
Rocks,1,WOD_Rocks_Medium_05,157,479,1571947938,19,38,Abibon-gora,157.1484375,-479.703125,-60,-15
Rocks,1,WOD_Rocks_Medium_08,184,450,18412245001,122,1,Abibon-gora,184.953125,-450.9921875,18,-26
Rocks,1,WOD_Rocks_Large_07,174,450,1747745068,77,68,Abibon-gora,174.6015625,-450.46875,-52,-19
Rocks,1,WOD_Rocks_Small_01,168,474,1686447496,64,96,Abibon-gora,168.5,-474.25,76,0
Rocks,1,WOD_Rocks_Small_09,142,494,14230494106,30,106,Abibon-gora,142.234375,-494.171875,-86,0
Rocks,1,WOD_Rocks_Medium_05,175,458,17511745805,117,5,Abibon-gora,175.9140625,-458.9609375,-125,-10
Rocks,1,WOD_Rocks_Medium_09,184,449,1845344932,53,32,Abibon-gora,184.4140625,-449.75,121,-27
Rocks,1,WOD_Rocks_Medium_02,169,461,1692246103,22,3,Abibon-gora,169.171875,-461.9765625,57,-14
Rocks,1,WOD_Rocks_Large_08,167,471,1674847139,48,39,Abibon-gora,167.375,-471.6953125,-13,-28
Rocks,1,WOD_Rocks_Small_06,170,466,1707646653,76,53,Abibon-gora,170.59375,-466.5859375,147,0
Rocks,1,WOD_Rocks_Small_04,189,451,1895745188,57,88,Abibon-gora,189.4453125,-451.3125,11,0
Rocks,1,WOD_Rocks_Medium_05,152,484,15284484107,84,107,Abibon-gora,152.65625,-484.1640625,3,-16
Rocks,1,WOD_Rocks_Medium_10,178,449,17810044951,100,51,Abibon-gora,178.78125,-449.6015625,43,0
Rocks,1,WOD_Rocks_Large_08,176,450,1763745046,37,46,Abibon-gora,176.2890625,-450.640625,-23,-20
Rocks,1,WOD_Rocks_Medium_01,177,459,1774845974,48,74,Abibon-gora,177.375,-459.421875,-58,-19
Rocks,1,WOD_Rocks_Small_05,169,462,1692946269,29,69,Abibon-gora,169.2265625,-462.4609375,174,0
Rocks,1,WOD_Rocks_Small_08,178,458,1782745826,27,26,Abibon-gora,178.2109375,-458.796875,-164,0
Rocks,1,WOD_Rocks_Medium_06,168,467,1688746737,87,37,Abibon-gora,168.6796875,-467.7109375,-123,-18
Rocks,1,WOD_Rocks_Small_06,181,450,18112245021,122,21,Abibon-gora,181.953125,-450.8359375,-79,0
Rocks,1,WOD_Rocks_Large_05,185,450,18521450113,21,113,Abibon-gora,185.1640625,-450.1171875,145,-29
Rocks,1,WOD_Rocks_Small_01,185,450,1850645096,6,96,Abibon-gora,185.046875,-450.25,35,0
Rocks,1,WOD_Rocks_Medium_10,140,495,1401049552,10,52,Abibon-gora,140.078125,-495.59375,-142,-2
Rocks,1,WOD_Rocks_Large_04,195,454,1958245442,82,42,Abibon-gora,195.640625,-454.671875,-94,-9
Rocks,1,WOD_Rocks_Small_01,168,466,16812846632,128,32,Abibon-gora,169,-466.75,157,0
