Location,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,LocationType
The Crypts of Kingham,2.0,WOD_Dock_Small_01,135.0,725,233,0,127,7266423464,Isle of Balfiera,726.5,-234.5,0,Graveyard
The Moorwing Cemetery,2.0,WOD_Dock_Lighthouse_Medium_01,0.0,366,193,64,0,3666919370,Anticlere,366.5390625,-193.453125,1,Graveyard
The Greenton Graveyard,2.0,WOD_Dock_Small_01,180.0,782,148,64,127,7826414869,Alcaire,782.5,-148.4609375,4,Graveyard
The Kingham Graveyard,2.0,WOD_Dock_Small_01,-135.0,795,157,0,0,7955915772,Menevia,795.4609375,-157.4375,3,Graveyard
THe Crypts of Mastersmith,2.0,WOD_Dock_Small_01,180.0,712,234,64,127,7126423459,Isle of Balfiera,712.5,-234.5390625,4,Graveyard
The Yeomhart Graveyard,2.0,WOD_Dock_Small_01,-90.0,681,195,0,64,6817219570,Isle of Balfiera,681.5625,-195.453125,4,Graveyard
The Tombs of Masterhart,2.0,WOD_Dock_Small_01,90.0,646,162,127,64,6466416259,Isle of Balfiera,646.5,-162.5390625,1,Graveyard
The Hawking Cemetery,,,,104,75,60,70,104607570,Glenumbra Moors,104.46875,-75.453125,1,Graveyard
The Yeomston Vaults,,,,168,93,56,73,168569373,Glenpoint,168.4375,-93.4296875,3,Graveyard
The Destten Vaults,,,,876,379,65,69,8766537969,Totambu,876.5078125,-379.4609375,5,Graveyard
The Ashham Tombs,,,,361,195,64,56,3616419556,Anticlere,361.5,-195.5625,1,Graveyard
