Location,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,LocationType
Inner Light of Stendarr,2.0,WOD_Dock_Lighthouse_Small_01,90.0,622,115,127,64,6224711570,Bhoriane,622.3671875,-115.453125,1,ReligionTemple
Fearful Redeemer of Julianos,2.0,WOD_HF_Dock_Small_01,0.0,866,289,64,0,8666528963,Satakalaam,866.5078125,-289.5078125,5,ReligionTemple
Singing Soul of Julianos,2.0,WOD_HF_Dock_Small_01,-90.0,169,473,0,64,1696347364,Abibon-gora,169.4921875,-473.5,7,ReligionTemple
Singing Idol of Julianos,2.0,WOD_HF_Dock_Small_01,-90.0,171,463,0,64,1716346364,Abibon-gora,171.4921875,-463.5,7,ReligionTemple
Burning Martyr of Kynareth,2.0,WOD_Dock_Small_01,-90.0,97,189,0,64,976918959,Daggerfall,97.5390625,-189.5390625,1,ReligionTemple
Burning Ascencion of Julianos,2.0,WOD_HF_Dock_Small_01,0.0,712,282,64,0,7126528263,Lainlyn,712.5078125,-282.5078125,5,ReligionTemple
Blessed Tree of Julianos,2.0,WOD_HF_Dock_Small_01,0.0,734,282,64,0,7346528263,Lainlyn,734.5078125,-282.5078125,5,ReligionTemple
Holy Ascencion of Julianos,2.0,WOD_HF_Dock_Small_01,-45.0,737,282,127,0,7376528263,Lainlyn,737.5078125,-282.5078125,5,ReligionTemple
Infinite Soul of Julianos,2.0,WOD_HF_Dock_Small_01,-45.0,749,279,127,0,7496327964,Lainlyn,749.4921875,-279.5,5,ReligionTemple
Bleeding Ascencion of Akatosh,2.0,WOD_Dock_Small_01,-45.0,828,223,127,0,8286122373,Wayrest,828.4765625,-223.4296875,1,ReligionTemple
Eternal Prophet of Akatosh,2.0,WOD_Dock_Small_01,-90.0,861,249,0,64,8616124973,Wayrest,861.4765625,-249.4296875,1,ReligionTemple
Inner Rebirth of Akatosh,2.0,WOD_Dock_Lighthouse_Small_01,180.0,889,257,64,127,8896125758,Wayrest,889.4765625,-257.546875,1,ReligionTemple
Burning Tree of Akatosh,2.0,WOD_Dock_Small_01,180.0,923,261,64,127,9236126158,Wayrest,923.4765625,-261.546875,1,ReligionTemple
Joyous Light of Akatosh,2.0,WOD_Dock_Small_01,-90.0,856,242,0,64,8566024260,Wayrest,856.46875,-242.53125,1,ReligionTemple
Inner Altar of Dibella,2.0,WOD_HF_Dock_Lighthouse_Small_01,-90.0,583,276,0,64,5835827672,Tigonus,583.453125,-276.4375,4,ReligionTemple
Wailing Tree of Mara,,,,377,121,59,67,3775912167,Anticlere,377.4609375,-121.4765625,1,ReligionTemple
Singing Seer of Zenithar,,,,885,380,74,60,8857438060,Totambu,885.578125,-380.53125,5,ReligionTemple
