Location,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,LocationType
Damu-Ij,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,180,451,64,0,1805645161,Abibon-gora,180.4375,-451.5234375,7.0,TownHamlet
Cathborne,2.0,WOD_Dock_Medium_01,180.0,718,133,64,127,7186113358,Alcaire,718.4765625,-133.546875,1.0,TownHamlet
Ipspath,2.0,WOD_Anticlere_Dock_Lighthouse_Medium_01,0.0,358,193,64,0,3587319367,Anticlere,358.5703125,-193.4765625,1.0,TownHamlet
Wilderleigh,2.0,WOD_Dock_Lighthouse_Small_01,180.0,558,137,64,127,5586113756,Bhoriane,558.4765625,-137.5625,1.0,TownHamlet
Arkbeth Garden,2.0,WOD_Dock_Lighthouse_Small_01,180.0,583,138,64,127,5836113858,Bhoriane,583.4765625,-138.546875,1.0,TownHamlet
Stokbrone,2.0,WOD_Dock_Medium_01,180.0,652,112,64,127,6526111258,Bhoriane,652.4765625,-112.546875,1.0,TownHamlet
Whitecroft,2.0,WOD_Dock_Lighthouse_Medium_01,180.0,102,199,64,127,1026419991,Daggerfall,102.5,-199.2890625,1.0,TownHamlet
Holmarket,2.0,WOD_Dock_Lighthouse_Small_01,-90.0,111,199,0,64,11174199102,Daggerfall,111.578125,-199.203125,1.0,TownHamlet
Vanvale,2.0,WOD_Dock_Medium_01,-90.0,294,214,0,64,2947021464,Daggerfall,294.546875,-214.5,1.0,TownHamlet
Fonthope End,2.0,WOD_Dock_Lighthouse_Small_01,0.0,146,235,64,0,1466423554,Daggerfall,146.5,-235.578125,1.0,TownHamlet
Tambridge,2.0,WOD_Dock_Medium_01,0.0,79,73,64,0,79617378,Glenumbra Moors,79.4765625,-73.390625,1.0,TownHamlet
Deerpath,2.0,WOD_Dock_Medium_01,-90.0,77,77,0,64,77517767,Glenumbra Moors,77.3984375,-77.4765625,1.0,TownHamlet
Warwych,2.0,WOD_Balfiera_Dock_Lighthouse_Small_01,,631,162,58,61,6315816261,Isle of Balfiera,631.453125,-162.5234375,1.0,TownHamlet
Pilliweyn,2.0,WOD_HF_Dock_Small_01,0.0,685,284,64,0,6856528463,Lainlyn,685.5078125,-284.5078125,5.0,TownHamlet
Pythohajer,2.0,WOD_HF_Dock_Medium_01,0.0,702,281,64,0,7026528163,Lainlyn,702.5078125,-281.5078125,5.0,TownHamlet
Morilliton,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,741,281,64,0,7416528163,Lainlyn,741.5078125,-281.5078125,5.0,TownHamlet
Baghascuwan,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,766,279,64,0,7666527963,Lainlyn,766.5078125,-279.5078125,5.0,TownHamlet
Meseraara,2.0,WOD_HF_Dock_Lighthouse_Medium_01,0.0,962,278,64,0,9626527863,Mournoth,962.5078125,-278.5078125,5.0,TownHamlet
Knightshope,2.0,WOD_Dock_Medium_01,0.0,229,5,64,0,229670569,Northmoor,229.5234375,-5.4609375,1.0,TownHamlet
Lopadai,2.0,WOD_HF_Dock_Lighthouse_Small_01,-90.0,798,277,0,64,7986327764,Satakalaam,798.4921875,-277.5,5.0,TownHamlet
Javibia,2.0,WOD_HF_Dock_Lighthouse_Small_01,-90.0,847,269,0,64,8475926959,Satakalaam,847.4609375,-269.5390625,5.0,TownHamlet
Pallaton,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,392,341,64,0,3926534163,Sentinel,392.5078125,-341.5078125,7.0,TownHamlet
Isfakabi,2.0,WOD_HF_Dock_Lighthouse_Small_01,180.0,392,351,64,127,3925835164,Sentinel,392.453125,-351.5,7.0,TownHamlet
Cudakasa,2.0,WOD_HF_Sentinel_Dock_Lighthouse_Medium_01,0.0,407,373,64,0,4076537363,Sentinel,407.5078125,-373.5078125,7.0,TownHamlet
Bubumbaret,2.0,WOD_HF_Sentinel_Dock_Lighthouse_Medium_01,0.0,415,373,64,0,4156537363,Sentinel,415.5078125,-373.5078125,7.0,TownHamlet
Bubaaqja,2.0,WOD_HF_Dock_Lighthouse_Small_01,0.0,427,373,64,0,4276537363,Sentinel,427.5078125,-373.5078125,7.0,TownHamlet
Paponirea,2.0,WOD_HF_Dock_Small_01,0.0,516,313,64,0,5166531363,Tigonus,516.5078125,-313.5078125,6.0,TownHamlet
Millitor,2.0,WOD_HF_Dock_Small_01,0.0,518,312,64,0,5186531263,Tigonus,518.5078125,-312.5078125,6.0,TownHamlet
Wadijerareg,2.0,WOD_HF_Dock_Medium_01,0.0,552,297,64,0,5526529763,Tigonus,552.5078125,-297.5078125,6.0,TownHamlet
Baghada,2.0,WOD_HF_Dock_Small_01,0.0,530,308,64,0,5306530863,Tigonus,530.5078125,-308.5078125,6.0,TownHamlet
Chestertower,2.0,WOD_Dock_Lighthouse_Small_01,-90.0,854,236,0,64,8546123673,Wayrest,854.4765625,-236.4296875,1.0,TownHamlet
Aldingshire,2.0,WOD_Dock_Small_01,90.0,839,249,127,64,8396924958,Wayrest,839.5390625,-249.546875,5.0,TownHamlet
Vanhope Hall,2.0,WOD_Dock_Lighthouse_Small_01,180.0,907,258,64,127,9076125858,Wayrest,907.4765625,-258.546875,1.0,TownHamlet
Grayville Court,2.0,WOD_Dock_Small_01,0.0,907,262,64,0,9076726263,Wayrest,907.5234375,-262.5078125,1.0,TownHamlet
