Location,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,LocationType
The Buckinghart Plantation,2.0,WOD_Dock_Small_01,180.0,735,135,64,127,7356113558,Alcaire,735.4765625,-135.546875,1.0,HomeFarms
The Gaerhouse Plantation,2.0,WOD_Dock_Lighthouse_Small_01,-180.0,629,158,64,127,6296415856,Isle of Balfiera,629.5,-158.5625,1.0,HomeFarms
The Moorsley Farmstead,2.0,WOD_Dock_Small_01,180.0,701,133,64,127,7016113358,Alcaire,701.4765625,-133.546875,1.0,HomeFarms
The Mastersmith Plantation,2.0,WOD_Dock_Small_01,180.0,356,200,64,127,3566420070,Anticlere,356.5,-200.453125,1.0,HomeFarms
The Gaerford Plantation,2.0,WOD_Dock_Small_01,-90.0,631,111,0,64,6316111173,Bhoriane,631.4765625,-111.4296875,1.0,HomeFarms
The Masterton Farmstead,2.0,WOD_Dock_Small_01,180.0,645,111,64,127,6456111158,Bhoriane,645.4765625,-111.546875,1.0,HomeFarms
Old Vannabyth's Farm,2.0,WOD_Dock_Small_01,-90.0,587,152,0,64,5876115259,Bhoriane,587.4765625,-152.5390625,1.0,HomeFarms
Old Evelorya's Farm,2.0,WOD_Dock_Small_01,-45.0,614,147,127,0,6146114759,Bhoriane,614.4765625,-147.5390625,1.0,HomeFarms
The Ashhouse Farmstead,2.0,WOD_Dock_Small_01,180.0,138,212,64,127,1385521267,Daggerfall,138.4296875,-212.4765625,1.0,HomeFarms
The Woodhouse Farmstead,2.0,WOD_Dock_Small_01,180.0,146,239,64,127,1466123956,Daggerfall,146.4765625,-239.5625,1.0,HomeFarms
Old Lysausa's Farm,2.0,WOD_Dock_Small_01,-45.0,625,150,127,0,6256115059,Isle of Balfiera,625.4765625,-150.5390625,1.0,HomeFarms
Kingsly Orchard,2.0,WOD_Dock_Small_01,,640,169,58,61,6405816961,Isle of Balfiera,640.453125,-169.5234375,1.0,HomeFarms
The Moorhouse Farmstead,2.0,WOD_Dock_Small_01,-180.0,654,170,64,127,6546517065,Isle of Balfiera,654.5078125,-170.4921875,1.0,HomeFarms
The Kurgrn Farmstead,2.0,WOD_HF_Dock_Small_01,0.0,663,281,64,0,6636528163,Lainlyn,663.5078125,-281.5078125,4.0,HomeFarms
Krill'kern Orchard,2.0,WOD_HF_Dock_Small_01,0.0,707,283,64,0,7076528363,Lainlyn,707.5078125,-283.5078125,5.0,HomeFarms
Old Vannyvyra's Farm,2.0,WOD_Dock_Small_01,-90.0,821,215,0,64,8215421563,Menevia,821.421875,-215.5078125,1.0,HomeFarms
The Kingham Farmstead,2.0,WOD_Dock_Small_01,-90.0,215,11,0,64,215631158,Northmoor,215.4921875,-11.546875,1.0,HomeFarms
The Bosam Farmstead,2.0,WOD_HF_Dock_Small_01,0.0,372,348,64,0,3726534863,Sentinel,372.5078125,-348.5078125,7.0,HomeFarms
The M'erg Farmstead,2.0,WOD_HF_Dock_Small_01,0.0,383,345,64,0,3836534563,Sentinel,383.5078125,-345.5078125,7.0,HomeFarms
The V'uchin Farmstead,2.0,WOD_HF_Dock_Small_01,0.0,419,374,64,0,4196537463,Sentinel,419.5078125,-374.5078125,7.0,HomeFarms
The V'ev Farmstead,2.0,WOD_HF_Dock_Small_01,0.0,534,305,64,0,5346530563,Tigonus,534.5078125,-305.5078125,6.0,HomeFarms
The Krurta Farmstead,2.0,WOD_HF_Dock_Small_01,0.0,582,290,64,0,5826529063,Tigonus,582.5078125,-290.5078125,7.0,HomeFarms
The Yeomfield Farmstead,2.0,WOD_Dock_Small_01,-135.0,847,229,0,0,8476122958,Wayrest,847.4765625,-229.546875,1.0,HomeFarms
The Gaerham Farmstead,2.0,WOD_Dock_Small_01,180.0,836,247,64,127,8365524756,Wayrest,836.4296875,-247.5625,5.0,HomeFarms
The Yeomsley Farmstead,2.0,WOD_Dock_Small_01,180.0,942,264,64,127,9426126458,Wayrest,942.4765625,-264.546875,0.0,HomeFarms
The Selpar Farmstead,2.0,WOD_HF_Dock_Small_01,0.0,406,325,64,0,4066732564,Sentinel,406.5234375,-325.5,7.0,HomeFarms
The Moorcroft Plantation,,nan,,86,100,68,54,866810054,Tulune,86.53125,-100.578125,1.0,HomeFarms
Old Lysolda's Farm,,nan,,137,107,61,64,1376110764,Glenpoint,137.4765625,-107.5,3.0,HomeFarms
The Wicksley Farmstead,,nan,,334,86,60,74,334608674,Ilessan Hills,334.46875,-86.421875,1.0,HomeFarms
Greening Grange,,nan,,375,120,63,60,3756312060,Anticlere,375.4921875,-120.53125,1.0,HomeFarms
The Sirdam Farmstead,,nan,,496,339,59,55,4965933955,Tigonus,496.4609375,-339.5703125,6.0,HomeFarms
The Caeghton Farmstead,,nan,,188,468,70,72,1887046872,Abibon-gora,188.546875,-468.4375,7.0,HomeFarms
The Faortrn Plantation,,nan,,177,477,64,55,1776447755,Abibon-gora,177.5,-477.5703125,7.0,HomeFarms
