fid,name,type,prefab,worldX,worldY,locationID,terrainX,terrainY,region,gisX,gixY,rotYaxis,heightOffset,climate,color
43564,Rocks,1,WOD_Rocks_Flat_Brown_Medium_01,629,471,62931471112,31,112,Dak'fron,629.2421875,-471.125,-40,0,Deep Desert,Brown
43567,Rocks,1,WOD_Rocks_Flat_Brown_Large_01,614,441,61411244177,112,77,Dak'fron,614.875,-441.3984375,15,-23,Deep Desert,Brown
43568,Rocks,1,WOD_Rocks_Flat_Brown_Large_02,628,441,62884441125,84,125,Dak'fron,628.65625,-441.0234375,-89,-23,Deep Desert,Brown
43569,Rocks,1,WOD_Rocks_Flat_Brown_Large_07,580,472,5803447225,34,25,Dak'fron,580.265625,-472.8046875,-70,-19,Deep Desert,Brown
43570,Rocks,1,WOD_Rocks_Flat_Brown_Large_09,503,473,50387473108,87,108,Dak'fron,503.6796875,-473.15625,3,-23,Deep Desert,Brown
43571,Rocks,1,WOD_Rocks_Flat_Brown_Small_02,540,476,54010447608,104,8,Dak'fron,540.8125,-476.9375,26,0,Deep Desert,Brown
43572,Rocks,1,WOD_Rocks_Flat_Brown_Small_03,698,492,69849492107,49,107,Dak'fron,698.3828125,-492.1640625,148,0,Deep Desert,Brown
43573,Rocks,1,WOD_Rocks_Flat_Brown_Small_04,568,484,5689648406,96,6,Dak'fron,568.75,-484.953125,-78,0,Deep Desert,Brown
43574,Rocks,1,WOD_Rocks_Flat_Brown_Small_06,683,486,6837648694,76,94,Dak'fron,683.59375,-486.265625,-158,0,Deep Desert,Brown
43575,Rocks,1,WOD_Rocks_Flat_Brown_Small_09,638,494,6385449425,54,25,Dak'fron,638.421875,-494.8046875,-96,0,Deep Desert,Brown
43576,Rocks,1,WOD_Rocks_Flat_Brown_Small_10,615,440,6159744035,97,35,Dak'fron,615.7578125,-440.7265625,97,0,Deep Desert,Brown
43577,Rocks,1,WOD_Rocks_Flat_Brown_Medium_01,553,470,5538047030,80,30,Dak'fron,553.625,-470.765625,144,-21,Deep Desert,Brown
43578,Rocks,1,WOD_Rocks_Flat_Brown_Medium_03,726,495,72604495112,4,112,Dak'fron,726.03125,-495.125,101,-25,Deep Desert,Brown
43579,Rocks,1,WOD_Rocks_Flat_Brown_Medium_04,546,468,5460546827,5,27,Dak'fron,546.0390625,-468.7890625,-71,-19,Deep Desert,Brown
43580,Rocks,1,WOD_Rocks_Flat_Brown_Medium_05,549,473,54912647378,126,78,Dak'fron,549.984375,-473.390625,-128,-11,Deep Desert,Brown
43581,Rocks,1,WOD_Rocks_Flat_Brown_Medium_12,508,468,50810446875,104,75,Dak'fron,508.8125,-468.4140625,13,-14,Deep Desert,Brown
43582,Rocks,1,WOD_Rocks_Flat_Brown_Large_02,649,464,64988464124,88,124,Dak'fron,649.6875,-464.03125,-8,-7,Deep Desert,Brown
43583,Rocks,1,WOD_Rocks_Flat_Brown_Large_04,626,439,626124439117,124,117,Dak'fron,626.96875,-439.0859375,56,-27,Deep Desert,Brown
43584,Rocks,1,WOD_Rocks_Flat_Brown_Large_05,701,492,70109492113,9,113,Dak'fron,701.0703125,-492.1171875,-9,-5,Deep Desert,Brown
43586,Rocks,1,WOD_Rocks_Flat_Brown_Large_08,619,436,61965436112,65,112,Dak'fron,619.5078125,-436.125,148,-7,Deep Desert,Brown
43587,Rocks,1,WOD_Rocks_Flat_Brown_Small_02,562,482,56257482112,57,112,Dak'fron,562.4453125,-482.125,-81,0,Deep Desert,Brown
43589,Rocks,1,WOD_Rocks_Flat_Brown_Small_06,714,494,71411849494,118,94,Dak'fron,714.921875,-494.265625,62,0,Deep Desert,Brown
43590,Rocks,1,WOD_Rocks_Flat_Brown_Small_07,713,494,71358494105,58,105,Dak'fron,713.453125,-494.1796875,38,0,Deep Desert,Brown
43591,Rocks,1,WOD_Rocks_Flat_Brown_Medium_04,675,478,6755447889,54,89,Dak'fron,675.421875,-478.3046875,-125,-5,Deep Desert,Brown
43592,Rocks,1,WOD_Rocks_Flat_Brown_Medium_06,590,496,5902349602,23,2,Dak'fron,590.1796875,-496.984375,-48,-5,Deep Desert,Brown
43593,Rocks,1,WOD_Rocks_Flat_Brown_Medium_09,589,475,58953475120,53,120,Dak'fron,589.4140625,-475.0625,99,-9,Deep Desert,Brown
43594,Rocks,1,WOD_Rocks_Flat_Brown_Large_02,635,471,63597471119,97,119,Dak'fron,635.7578125,-471.0703125,-54,-16,Deep Desert,Brown
43595,Rocks,1,WOD_Rocks_Flat_Brown_Large_05,603,476,6034447653,44,53,Dak'fron,603.34375,-476.5859375,-53,-11,Deep Desert,Brown
