name,type,prefab,worldX,worldY,locationID,terrainX,terrainY,rotYaxis,region
Rocks,2,WOD_Rocks_Large_05r1,893,249,8931524993,15,93,-146,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,910,225,9102822586,28,86,-22,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,971,242,97118242119,18,119,-42,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,942,263,9421926388,19,88,-75,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,969,253,9696525340,65,40,-107,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,958,243,95811424338,114,38,24,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,924,227,92412522709,125,9,-35,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,875,251,8759725186,97,86,-170,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,884,228,88473228108,73,108,-102,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,858,197,85841197123,41,123,127,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,960,263,96081263127,81,127,42,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,936,219,93608219105,8,105,-113,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,947,219,9471221961,12,61,-64,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,969,239,9696323944,63,44,-17,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,922,234,9222623499,26,99,-88,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,877,249,8777924956,79,56,60,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,896,228,8969322887,93,87,175,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,875,233,8756523378,65,78,-13,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,898,236,8982623676,26,76,-10,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,881,194,8814219429,42,29,-58,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,974,268,9744126896,41,96,73,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,854,233,8542623363,26,63,-127,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,913,258,9138325876,83,76,-133,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,869,194,86972194113,72,113,118,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,869,229,86912422950,124,50,-46,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,876,202,87652202102,52,102,170,Wayrest
Rocks,2,WOD_Rocks_Large_05r1,877,249,8776724949,67,49,98,Wayrest
