fid,name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate
349,Orc Camp,0,WOD_OrcCamp_Medium_03,11,426,110,52,15,4265211015,Urvaius,426.40625,-110.8828125,1
350,Orc Camp,0,WOD_OrcCamp_Large_01,-152,427,110,90,101,42790110101,Urvaius,427.703125,-110.2109375,1
351,Orc Camp,0,WOD_OrcCamp_Small_01,175,427,112,74,67,4277411267,Urvaius,427.578125,-112.4765625,1
352,Orc Camp,0,WOD_OrcCamp_Small_02,-180,428,110,46,28,4284611028,Urvaius,428.359375,-110.78125,1
353,Orc Camp,0,WOD_OrcCamp_Small_03,-17,428,112,4,36,4280411236,Urvaius,428.03125,-112.71875,1
354,Orc Camp,0,WOD_OrcCamp_Medium_01,-20,426,111,47,32,4264711132,Urvaius,426.3671875,-111.75,1
490,Orc Camp,0,WOD_OrcCamp_Large_01,99,446,49,81,87,446814987,Urvaius,446.6328125,-49.3203125,1
491,Orc Camp,0,WOD_OrcCamp_Small_01,-76,448,49,35,49,448354949,Urvaius,448.2734375,-49.6171875,1
492,Orc Camp,0,WOD_OrcCamp_Small_02,-9,446,50,10,28,446105028,Urvaius,446.078125,-50.78125,1
493,Orc Camp,0,WOD_OrcCamp_Small_03,122,451,75,1,45,451017545,Urvaius,451.0078125,-75.6484375,1
494,Orc Camp,0,WOD_OrcCamp_Medium_01,-150,449,76,44,124,4494476124,Urvaius,449.34375,-76.03125,1
495,Orc Camp,0,WOD_OrcCamp_Medium_02,145,449,75,118,70,4491187570,Urvaius,449.921875,-75.453125,1
496,Orc Camp,0,WOD_OrcCamp_Medium_03,165,465,89,38,50,465388950,Urvaius,465.296875,-89.609375,1
497,Orc Camp,0,WOD_OrcCamp_Large_01,-77,463,87,54,20,463548720,Urvaius,463.421875,-87.84375,1
498,Orc Camp,0,WOD_OrcCamp_Small_01,88,465,88,88,100,4658888100,Urvaius,465.6875,-88.21875,1
499,Orc Camp,0,WOD_OrcCamp_Small_02,-50,435,96,5,32,435059632,Urvaius,435.0390625,-96.75,1
500,Orc Camp,0,WOD_OrcCamp_Small_03,143,433,94,118,65,4331189465,Urvaius,433.921875,-94.4921875,1
501,Orc Camp,0,WOD_OrcCamp_Medium_01,113,434,96,35,42,434359642,Urvaius,434.2734375,-96.671875,1
502,Orc Camp,0,WOD_OrcCamp_Medium_02,39,417,114,104,45,41710411445,Urvaius,417.8125,-114.6484375,1
503,Orc Camp,0,WOD_OrcCamp_Medium_03,-30,417,116,37,115,41737116115,Urvaius,417.2890625,-116.1015625,1
504,Orc Camp,0,WOD_OrcCamp_Large_01,-25,418,115,106,99,41810611599,Urvaius,418.828125,-115.2265625,1
505,Orc Camp,0,WOD_OrcCamp_Small_01,116,501,128,81,40,5018112840,Urvaius,501.6328125,-128.6875,1
506,Orc Camp,0,WOD_OrcCamp_Small_02,-18,502,129,29,79,5022912979,Urvaius,502.2265625,-129.3828125,1
507,Orc Camp,0,WOD_OrcCamp_Small_03,116,502,128,37,127,50237128127,Urvaius,502.2890625,-128.0078125,1
1197,Orc Camp,0,WOD_OrcCamp_Large_01,159,449,129,32,3,4493212903,Urvaius,449.25,-129.9765625,1
1242,Orc Camp,0,WOD_OrcCamp_Small_03,-53,423,102,86,102,42386102102,Urvaius,423.671875,-102.203125,1
1243,Orc Camp,0,WOD_OrcCamp_Medium_01,175,464,117,73,74,4647311774,Urvaius,464.5703125,-117.421875,1
1260,Orc Camp,0,WOD_OrcCamp_Large_01,-116,424,53,72,91,424725391,Urvaius,424.5625,-53.2890625,1
1261,Orc Camp,0,WOD_OrcCamp_Small_01,172,443,102,32,5,4433210205,Urvaius,443.25,-102.9609375,1
1269,Orc Camp,0,WOD_OrcCamp_Small_02,-80,487,133,1,82,4870113382,Urvaius,487.0078125,-133.359375,1
1280,Orc Camp,0,WOD_OrcCamp_Medium_03,-55,463,71,63,84,463637184,Urvaius,463.4921875,-71.34375,1
1294,Orc Camp,0,WOD_OrcCamp_Medium_03,128,460,105,37,67,4603710567,Urvaius,460.2890625,-105.4765625,1
1296,Orc Camp,0,WOD_OrcCamp_Small_01,128,433,70,92,69,433927069,Urvaius,433.71875,-70.4609375,1
1315,Orc Camp,0,WOD_OrcCamp_Medium_03,-1,440,61,36,1,440366101,Urvaius,440.28125,-61.9921875,1
1324,Orc Camp,0,WOD_OrcCamp_Small_01,-167,459,46,105,36,4591054636,Urvaius,459.8203125,-46.71875,1
1331,Orc Camp,0,WOD_OrcCamp_Small_01,-41,459,100,32,60,4593210060,Urvaius,459.25,-100.53125,1
1334,Orc Camp,0,WOD_OrcCamp_Medium_01,130,491,101,61,32,4916110132,Urvaius,491.4765625,-101.75,1
1349,Orc Camp,0,WOD_OrcCamp_Medium_02,-164,464,51,111,38,4641115138,Urvaius,464.8671875,-51.703125,1
1353,Orc Camp,0,WOD_OrcCamp_Small_02,-42,426,51,54,18,426545118,Urvaius,426.421875,-51.859375,1
1370,Orc Camp,0,WOD_OrcCamp_Medium_02,-36,445,127,52,116,44552127116,Urvaius,445.40625,-127.09375,1
1381,Orc Camp,0,WOD_OrcCamp_Small_02,159,442,88,83,118,4428388118,Urvaius,442.6484375,-88.078125,1
