name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Urvaius Border Tower,0,WOD_Urvaius_ScoutTower_01,,406,107,24,46,4062410746,Urvaius,406.1875,-107.640625
Urvaius Border Tower,0,WOD_Urvaius_BorderTower_01,270,444,130,78,76,4447813076,Urvaius,444.609375,-130.40625
Urvaius Border Tower,0,WOD_Urvaius_BorderTower_01,270,491,131,55,8,4915513108,Urvaius,491.4296875,-131.9375
Urvaius Border Tower,0,WOD_Urvaius_BorderTower_01,270,507,131,77,19,5077713119,Urvaius,507.6015625,-131.8515625
Urvaius Border Tower,0,WOD_Urvaius_ScoutTower_01,90,481,42,73,115,4817342115,Urvaius,481.5703125,-42.1015625
Urvaius Border Tower,0,WOD_Urvaius_ScoutTower_01,180,513,132,110,55,51311013255,Urvaius,513.859375,-132.5703125
Urvaius Border Tower,0,WOD_Urvaius_ScoutTower_01,180,514,126,111,49,51411112649,Urvaius,514.8671875,-126.6171875
Urvaius Border Tower,0,WOD_Urvaius_BorderTower_01,90,451,40,74,113,4517440113,Urvaius,451.578125,-40.1171875
Urvaius Border Tower,0,WOD_Urvaius_ScoutTower_01,270,412,116,18,22,4121811622,Urvaius,412.140625,-116.828125
Urvaius Border Tower,0,WOD_Urvaius_BorderTower_01,90,422,39,72,92,422723992,Urvaius,422.5625,-39.28125
