fid,name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate
32,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,169,111,58,90,Glenpoint,169.453125,-111.296875,3.0
34,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,175,111,87,36,Glenpoint,175.6796875,-111.71875,3.0
37,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,167,90,119,93,Glenpoint,167.9921875,-90.2734375,3.0
38,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,158,71,56,73,Glenpoint,158.4375,-71.4296875,1.0
209,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,218,117,54,102,Glenpoint,218.421875,-117.203125,3.0
240,Logging Camp,0,WOD_LoggingCamp_Medium_Destroyed_Woodlands,,171,73,69,119,Glenpoint,171.5390625,-73.03125,1.0
270,Logging Camp,0,WOD_LoggingCamp_Medium_Destroyed_Woodlands,,184,96,83,40,Glenpoint,184.6484375,-96.6875,3.0
284,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,212,147,35,17,Glenpoint,212.2734375,-147.8671875,3.0
314,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,146,110,100,91,Glenpoint,146.78125,-110.2890625,3.0
329,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,135,145,23,119,Glenpoint,135.1796875,-145.046875,1.0
