fid,name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate
1,Logging Camp,0,WOD_LoggingCamp_Small_Mountains,,826,31,76,67,Wrothgarian Mountains,826.59375,-31.4765625,4.0
9,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,779,122,99,9,Wrothgarian Mountains,779.7734375,-122.9921875,4.0
13,Logging Camp,0,WOD_LoggingCamp_Small_Mountains,,905,136,14,13,Wrothgarian Mountains,905.109375,-136.8984375,4.0
16,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,730,35,9,105,Wrothgarian Mountains,730.03125,-35.1796875,4.0
22,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,805,100,116,55,Wrothgarian Mountains,805.953125,-100.5703125,4.0
27,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,804,37,79,29,Wrothgarian Mountains,804.6171875,-37.7734375,4.0
29,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,792,20,70,70,Wrothgarian Mountains,792.546875,-20.453125,4.0
45,Logging Camp,0,WOD_LoggingCamp_Small_Destroyed_Mountains,,905,47,44,13,Wrothgarian Mountains,905.34375,-47.8984375,4.0
59,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,657,15,22,60,Wrothgarian Mountains,657.171875,-15.53125,4.0
62,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,652,22,116,42,Wrothgarian Mountains,652.9609375,-22.671875,4.0
66,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,834,22,60,14,Wrothgarian Mountains,834.46875,-22.890625,4.0
67,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,810,18,119,67,Wrothgarian Mountains,810.9296875,-18.4765625,4.0
87,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,885,123,32,78,Wrothgarian Mountains,885.25,-123.390625,4.0
95,Logging Camp,0,WOD_LoggingCamp_Small_Destroyed_Mountains,,925,178,116,78,Wrothgarian Mountains,925.9921875,-178.390625,4.0
105,Logging Camp,0,WOD_LoggingCamp_Small_Destroyed_Mountains,,709,9,68,96,Wrothgarian Mountains,709.53125,-9.25,4.0
114,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,922,17,35,33,Wrothgarian Mountains,922.2734375,-17.7421875,4.0
116,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,968,134,27,100,Wrothgarian Mountains,968.2109375,-134.21875,4.0
126,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,960,12,14,18,Wrothgarian Mountains,960.109375,-12.859375,4.0
144,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,748,32,23,61,Wrothgarian Mountains,748.1796875,-32.5234375,4.0
160,Logging Camp,0,WOD_LoggingCamp_Medium_Destroyed_Woodlands,,926,67,91,28,Wrothgarian Mountains,926.7109375,-67.78125,4.0
166,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,931,87,10,56,Wrothgarian Mountains,931.078125,-87.5625,4.0
168,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,699,57,9,20,Wrothgarian Mountains,699.0078125,-57.84375,4.0
