name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,,226,469,67,84,2266746984,Kairou,226.5234375,-469.34375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,,220,462,68,108,22068462108,Kairou,220.53125,-462.15625
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,,238,460,67,73,2386746073,Kairou,238.5234375,-460.4296875
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,,208,458,68,92,2086845892,Kairou,208.53125,-458.28125
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,,208,455,67,24,2086745524,Kairou,208.5234375,-455.8125
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,,224,453,67,90,2246745390,Kairou,224.5234375,-453.296875
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,,205,450,67,90,2056745090,Kairou,205.5234375,-450.296875
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,,205,448,67,58,2056744858,Kairou,205.5234375,-448.546875
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,,202,445,67,86,2026744586,Kairou,202.5234375,-445.328125
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,,227,445,67,110,22767445110,Kairou,227.5234375,-445.140625
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,,241,438,67,1,2416743801,Kairou,241.5234375,-438.9921875
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,,242,430,67,73,2426743073,Kairou,242.5234375,-430.4296875
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,214,474,27,61,2142747461,Kairou,214.2109375,-474.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,216,474,101,61,21610147461,Kairou,216.7890625,-474.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,219,474,13,61,2191347461,Kairou,219.1015625,-474.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,223,471,65,61,2236547161,Kairou,223.5078125,-471.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,248,454,6,61,2480645461,Kairou,248.046875,-454.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,231,467,24,61,2312446761,Kairou,231.1875,-467.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,228,467,4,61,2280446761,Kairou,228.03125,-467.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,225,467,13,61,2251346761,Kairou,225.1015625,-467.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,218,459,87,61,2188745961,Kairou,218.6796875,-459.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,214,456,41,61,2144145661,Kairou,214.3203125,-456.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,211,456,50,61,2115045661,Kairou,211.390625,-456.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,206,442,29,61,2062944261,Kairou,206.2265625,-442.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,212,436,70,61,2127043661,Kairou,212.546875,-436.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,223,450,109,61,22310945061,Kairou,223.8515625,-450.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,220,449,38,61,2203844961,Kairou,220.296875,-449.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,215,437,55,61,2155543761,Kairou,215.4296875,-437.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,218,437,36,61,2183643761,Kairou,218.28125,-437.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,220,439,56,61,2205643961,Kairou,220.4375,-439.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,224,442,70,61,2247044261,Kairou,224.546875,-442.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,231,442,27,61,2312744261,Kairou,231.2109375,-442.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,233,442,95,61,2339544261,Kairou,233.7421875,-442.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,237,441,82,61,2378244161,Kairou,237.640625,-441.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,239,441,59,61,2395944161,Kairou,239.4609375,-441.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,223,437,65,61,2236543761,Kairou,223.5078125,-437.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,225,437,31,61,2253143761,Kairou,225.2421875,-437.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,227,435,111,61,22711143561,Kairou,227.8671875,-435.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,232,433,8,61,2320843361,Kairou,232.0625,-433.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,234,433,12,61,2341243361,Kairou,234.09375,-433.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,237,433,106,61,23710643361,Kairou,237.828125,-433.5234375
Kairou Banner Post,0,WOD_Kairou_BannerPost_01,90,240,432,82,61,2408243261,Kairou,240.640625,-432.5234375
