name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,,828,216,10,60,Wayrest,828.078125,-216.53125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,,828,215,10,102,Wayrest,828.078125,-215.203125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,,828,213,10,17,Wayrest,828.078125,-213.8671875
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,,828,212,10,59,Wayrest,828.078125,-212.5390625
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,,828,211,9,56,Wayrest,828.0703125,-211.5625
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,,829,209,5,40,Wayrest,829.0390625,-209.6875
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,831,208,12,115,Wayrest,831.09375,-208.1015625
Wayrest Border Tower,0,WOD_Wayrest_ScoutTower_01,180.0,832,208,108,24,Wayrest,832.84375,-208.8125
Wayrest Border Tower,0,WOD_Wayrest_ScoutTower_01,180.0,834,210,119,101,Wayrest,834.9296875,-210.2109375
Wayrest Border Tower,0,WOD_Wayrest_ScoutTower_01,90.0,837,212,70,120,Wayrest,837.546875,-212.0625
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,838,213,125,115,Wayrest,838.9765625,-213.1015625
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,841,213,64,118,Wayrest,841.5,-213.078125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,844,213,42,118,Wayrest,844.328125,-213.078125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,846,213,26,120,Wayrest,846.203125,-213.0625
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,849,213,26,118,Wayrest,849.203125,-213.078125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,,852,214,8,111,Wayrest,852.0625,-214.1328125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,,854,212,17,49,Wayrest,854.1328125,-212.6171875
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,,855,209,18,50,Wayrest,855.140625,-209.609375
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,,854,206,18,61,Wayrest,854.140625,-206.5234375
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,,851,203,50,27,Wayrest,851.390625,-203.7890625
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,,848,200,70,20,Wayrest,848.546875,-200.84375
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,,847,199,13,101,Wayrest,847.1015625,-199.2109375
Wayrest Border Tower,0,WOD_Wayrest_ScoutTower_01,,846,195,8,23,Wayrest,846.0625,-195.8203125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,,846,193,10,55,Wayrest,846.078125,-193.5703125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,,846,190,42,92,Wayrest,846.328125,-190.28125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,,848,188,9,61,Wayrest,848.0703125,-188.5234375
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,,850,187,10,54,Wayrest,850.078125,-187.578125
Wayrest Border Tower,0,WOD_Wayrest_ScoutTower_01,,851,184,15,108,Wayrest,851.1171875,-184.15625
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,851,182,60,119,Wayrest,851.46875,-182.0703125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,852,183,73,123,Wayrest,852.5703125,-183.0390625
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,854,183,100,123,Wayrest,854.78125,-183.0390625
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,856,183,45,120,Wayrest,856.3515625,-183.0625
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,857,184,40,120,Wayrest,857.3125,-184.0625
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,860,184,69,122,Wayrest,860.5390625,-184.046875
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,862,184,78,124,Wayrest,862.609375,-184.03125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,864,184,38,119,Wayrest,864.296875,-184.0703125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,865,184,115,124,Wayrest,865.8984375,-184.03125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,867,184,47,122,Wayrest,867.3671875,-184.046875
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,869,184,17,123,Wayrest,869.1328125,-184.0390625
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,870,184,78,120,Wayrest,870.609375,-184.0625
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,872,183,24,119,Wayrest,872.1875,-183.0703125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,873,182,27,122,Wayrest,873.2109375,-182.046875
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,876,182,14,119,Wayrest,876.109375,-182.0703125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,877,182,126,120,Wayrest,878.0,-182.0625
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,880,182,27,116,Wayrest,880.2109375,-182.09375
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,882,182,63,123,Wayrest,882.4921875,-182.0390625
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,884,182,105,119,Wayrest,884.8203125,-182.0703125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,886,182,97,122,Wayrest,886.7578125,-182.046875
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,889,182,8,122,Wayrest,889.0625,-182.046875
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,180.0,892,182,120,105,Wayrest,892.9375,-182.1796875
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,180.0,893,183,120,101,Wayrest,893.9375,-183.2109375
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,896,184,3,120,Wayrest,896.0234375,-184.0625
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,898,184,29,120,Wayrest,898.2265625,-184.0625
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,900,184,17,119,Wayrest,900.1328125,-184.0703125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,902,184,14,116,Wayrest,902.109375,-184.09375
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,903,184,95,120,Wayrest,903.7421875,-184.0625
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,910,184,26,119,Wayrest,910.203125,-184.0703125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,911,184,120,118,Wayrest,911.9375,-184.078125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,912,185,81,120,Wayrest,912.6328125,-185.0625
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,914,185,55,118,Wayrest,914.4296875,-185.078125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,180.0,915,186,122,65,Wayrest,915.953125,-186.4921875
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,180.0,916,187,119,41,Wayrest,916.9296875,-187.6796875
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,180.0,917,189,120,37,Wayrest,917.9375,-189.7109375
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,180.0,921,194,119,105,Wayrest,921.9296875,-194.1796875
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,180.0,923,196,122,92,Wayrest,923.953125,-196.28125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,180.0,925,198,119,119,Wayrest,925.9296875,-198.0703125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,926,199,31,120,Wayrest,926.2421875,-199.0625
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,928,201,44,123,Wayrest,928.34375,-201.0390625
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,180.0,930,202,108,24,Wayrest,930.84375,-202.8125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,933,204,33,119,Wayrest,933.2578125,-204.0703125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,936,205,31,120,Wayrest,936.2421875,-205.0625
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,938,206,31,124,Wayrest,938.2421875,-206.03125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,180.0,939,206,108,29,Wayrest,939.84375,-206.7734375
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,180.0,941,207,119,32,Wayrest,941.9296875,-207.75
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,945,209,88,118,Wayrest,945.6875,-209.078125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,949,209,14,118,Wayrest,949.109375,-209.078125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,953,209,99,119,Wayrest,953.7734375,-209.0703125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,957,209,19,116,Wayrest,957.1484375,-209.09375
Wayrest Border Tower,0,WOD_Wayrest_ScoutTower_01,90.0,959,210,26,115,Wayrest,959.203125,-210.1015625
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,180.0,960,212,122,33,Wayrest,960.953125,-212.7421875
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,180.0,960,216,119,96,Wayrest,960.9296875,-216.25
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,180.0,961,219,120,35,Wayrest,961.9375,-219.7265625
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,180.0,961,222,119,61,Wayrest,961.9296875,-222.5234375
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,180.0,962,225,122,83,Wayrest,962.953125,-225.3515625
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,180.0,962,229,120,115,Wayrest,962.9375,-229.1015625
Wayrest Border Tower,0,WOD_Wayrest_ScoutTower_01,180.0,961,231,108,24,Wayrest,961.84375,-231.8125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,180.0,967,232,115,77,Wayrest,967.8984375,-232.3984375
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,973,233,29,114,Wayrest,973.2265625,-233.109375
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,180.0,977,233,115,29,Wayrest,977.8984375,-233.7734375
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,180.0,979,236,119,55,Wayrest,979.9296875,-236.5703125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,983,238,42,111,Wayrest,983.328125,-238.1328125
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,90.0,985,239,55,104,Wayrest,985.4296875,-239.1875
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,180.0,986,243,119,116,Wayrest,986.9296875,-243.09375
Wayrest Border Tower,0,WOD_Wayrest_BorderTower_01,180.0,986,246,115,18,Wayrest,986.8984375,-246.859375
