fid,name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate
3,Logging Camp,0,WOD_LoggingCamp_Small_Mountains,,909,409,95,17,Dragontail Mountains,909.7421875,-409.8671875,4.0
5,Logging Camp,0,WOD_LoggingCamp_Small_Destroyed_Mountains,,784,444,63,47,Dragontail Mountains,784.4921875,-444.6328125,4.0
19,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,698,444,28,20,Dragontail Mountains,698.21875,-444.84375,4.0
43,Logging Camp,0,WOD_LoggingCamp_Small_Mountains,,644,391,100,115,Dragontail Mountains,644.78125,-391.078125,4.0
47,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,780,415,79,50,Dragontail Mountains,780.6171875,-415.609375,4.0
49,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,664,381,12,108,Dragontail Mountains,664.09375,-381.15625,4.0
54,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,940,474,12,24,Dragontail Mountains,940.0234375,-474.8125,4.0
60,Logging Camp,0,WOD_LoggingCamp_Medium_Destroyed_Woodlands,,597,305,10,13,Dragontail Mountains,597.078125,-305.8984375,4.0
104,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,956,444,105,79,Dragontail Mountains,956.8203125,-444.3828125,4.0
108,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,744,397,9,69,Dragontail Mountains,744.0390625,-397.4609375,4.0
119,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,812,470,12,119,Dragontail Mountains,812.09375,-470.0625,4.0
121,Logging Camp,0,WOD_LoggingCamp_Small_Mountains,,968,414,33,58,Dragontail Mountains,968.2578125,-414.546875,4.0
135,Logging Camp,0,WOD_LoggingCamp_Small_Destroyed_Mountains,,825,421,58,84,Dragontail Mountains,825.453125,-421.34375,4.0
137,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,622,294,119,82,Dragontail Mountains,622.9921875,-294.359375,4.0
146,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,807,446,84,33,Dragontail Mountains,807.65625,-446.7421875,4.0
158,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,621,293,119,60,Dragontail Mountains,621.9296875,-293.53125,4.0
165,Logging Camp,0,WOD_LoggingCamp_Small_Destroyed_Mountains,,862,494,116,88,Dragontail Mountains,862.953125,-494.3125,4.0
172,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,648,331,18,37,Dragontail Mountains,648.140625,-331.7109375,4.0
174,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,706,384,12,70,Dragontail Mountains,706.0234375,-384.453125,4.0
176,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,715,439,47,33,Dragontail Mountains,715.3671875,-439.7421875,4.0
192,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,827,384,12,83,Dragontail Mountains,827.078125,-384.3515625,4.0
195,Logging Camp,0,WOD_LoggingCamp_Small_Destroyed_Mountains,,727,424,37,96,Dragontail Mountains,727.2890625,-424.25,4.0
220,Logging Camp,0,WOD_LoggingCamp_Medium_Destroyed_Woodlands,,855,419,13,109,Dragontail Mountains,855.1015625,-419.1484375,4.0
221,Logging Camp,0,WOD_LoggingCamp_Small_Mountains,,694,385,108,61,Dragontail Mountains,694.84375,-385.5234375,4.0
229,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,742,454,12,36,Dragontail Mountains,742.09375,-454.71875,4.0
250,Logging Camp,0,WOD_LoggingCamp_Medium_Destroyed_Woodlands,,862,483,50,102,Dragontail Mountains,862.390625,-483.203125,4.0
276,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,780,476,45,76,Dragontail Mountains,780.3515625,-476.40625,4.0
294,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,673,420,12,17,Dragontail Mountains,673.0234375,-420.8671875,4.0
295,Logging Camp,0,WOD_LoggingCamp_Small_Destroyed_Mountains,,932,470,84,108,Dragontail Mountains,932.65625,-470.15625,4.0
297,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,646,339,95,9,Dragontail Mountains,646.7421875,-339.9375,4.0
302,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,648,325,54,23,Dragontail Mountains,648.421875,-325.8203125,4.0
308,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,757,471,104,92,Dragontail Mountains,757.8125,-471.28125,4.0
310,Logging Camp,0,WOD_LoggingCamp_Medium_Destroyed_Woodlands,,794,474,45,95,Dragontail Mountains,794.3515625,-474.2578125,4.0
347,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,683,396,23,13,Dragontail Mountains,683.1796875,-396.8984375,4.0
349,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,660,415,59,119,Dragontail Mountains,660.4609375,-415.0,4.0
