name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,rotYaxis,scale
Small Mountain,3,WOD_Mountain_Brown_04,937,460,59,102,93759460102,Dragontail Mountains,937.4609375,-460.203125,-28,0.53
Small Mountain,3,WOD_Mountain_Brown_05,988,386,8,78,9880838678,Dragontail Mountains,988.0625,-386.390625,-14,0.67
Small Mountain,3,WOD_Mountain_Brown_08,877,482,92,69,8779248269,Dragontail Mountains,877.71875,-482.4609375,103,0.64
Small Mountain,3,WOD_Mountain_Brown_04,992,421,52,3,9925242103,Dragontail Mountains,992.40625,-421.9765625,-41,0.65
Small Mountain,3,WOD_Mountain_Brown_02,858,480,77,1,8587748001,Dragontail Mountains,858.6015625,-480.9921875,132,0.53
Small Mountain,3,WOD_Mountain_Brown_04,802,469,123,76,80212346976,Dragontail Mountains,802.9609375,-469.40625,-138,0.52
Small Mountain,3,WOD_Mountain_Brown_05,704,361,6,61,7040636161,Dragontail Mountains,704.046875,-361.5234375,-83,0.71
Small Mountain,3,WOD_Mountain_Brown_04,959,409,78,79,9597840979,Dragontail Mountains,959.609375,-409.3828125,122,0.75
Small Mountain,3,WOD_Mountain_Brown_05,672,352,56,23,6725635223,Dragontail Mountains,672.4375,-352.8203125,65,0.75
Small Mountain,3,WOD_Mountain_Brown_03,797,381,42,29,7974238129,Dragontail Mountains,797.328125,-381.7734375,102,0.53
Small Mountain,3,WOD_Mountain_Brown_09,750,473,111,104,750111473104,Dragontail Mountains,750.8671875,-473.1875,-92,0.5
Small Mountain,3,WOD_Mountain_Brown_06,968,442,93,127,96893442127,Dragontail Mountains,968.7265625,-442.0078125,-60,0.69
Small Mountain,3,WOD_Mountain_Brown_07,746,425,42,29,7464242529,Dragontail Mountains,746.328125,-425.7734375,129,0.57
Small Mountain,3,WOD_Mountain_Brown_09,755,395,111,102,755111395102,Dragontail Mountains,755.8671875,-395.203125,171,0.64
Small Mountain,3,WOD_Mountain_Brown_07,638,393,4,44,6380439344,Dragontail Mountains,638.03125,-393.65625,-137,0.55
Small Mountain,3,WOD_Mountain_Brown_07,891,495,33,83,8913349583,Dragontail Mountains,891.2578125,-495.3515625,-108,0.66
Small Mountain,3,WOD_Mountain_Brown_08,790,452,36,93,7903645293,Dragontail Mountains,790.28125,-452.2734375,131,0.55
