name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,rotYaxis,scale,sink
Small Mountain,1,WOD_Mountain_Gray_02,690,187,1,17,6900118717,Isle of Balfiera,690.0078125,-187.8671875,100,0.62,1
Small Mountain,1,WOD_Mountain_Gray_08,694,212,51,113,69451212113,Isle of Balfiera,694.3984375,-212.1171875,114,0.51,1
Small Mountain,1,WOD_Mountain_Gray_09,734,226,114,105,734114226105,Isle of Balfiera,734.890625,-226.1796875,-3,0.55,1
Small Mountain,1,WOD_Mountain_Gray_01,739,212,76,109,73976212109,Isle of Balfiera,739.59375,-212.1484375,4,0.59,1
Small Mountain,1,WOD_Mountain_Gray_07,685,201,31,28,6853120128,Isle of Balfiera,685.2421875,-201.78125,25,0.53,1
Small Mountain,1,WOD_Mountain_Gray_03,689,179,44,93,6894417993,Isle of Balfiera,689.34375,-179.2734375,-84,0.68,1
Small Mountain,1,WOD_Mountain_Gray_07,730,223,81,72,7308122372,Isle of Balfiera,730.6328125,-223.4375,-110,0.71,1
Small Mountain,1,WOD_Mountain_Gray_05,690,221,114,36,69011422136,Isle of Balfiera,690.890625,-221.71875,-70,0.52,1
Small Mountain,1,WOD_Mountain_Gray_03,731,205,32,8,7313220508,Isle of Balfiera,731.25,-205.9375,-128,0.57,1
Small Mountain,1,WOD_Mountain_Gray_09,679,220,5,96,6790522096,Isle of Balfiera,679.0390625,-220.25,-98,0.68,1
Small Mountain,1,WOD_Mountain_Gray_03,722,209,33,122,72233209122,Isle of Balfiera,722.2578125,-209.046875,-165,0.6,1
Small Mountain,1,WOD_Mountain_Gray_03,711,195,61,128,71161195128,Isle of Balfiera,711.4765625,-195,65,0.61,1
Small Mountain,1,WOD_Mountain_Gray_06,708,187,40,27,7084018727,Isle of Balfiera,708.3125,-187.7890625,55,0.64,1
Small Mountain,1,WOD_Mountain_Gray_01,716,195,37,51,7163719551,Isle of Balfiera,716.2890625,-195.6015625,-108,0.74,1
