name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,rotYaxis,scale
Small Mountain,3,WOD_Mountain_03,705,74,127,18,7051277418,Koegria,705.9921875,-74.859375,172,0.55
Small Mountain,3,WOD_Mountain_05,685,70,104,119,68510470119,Koegria,685.8125,-70.0703125,-60,0.52
Small Mountain,3,WOD_Mountain_04,706,73,37,72,706377372,Koegria,706.2890625,-73.4375,-171,0.6
Small Mountain,3,WOD_Mountain_05,693,73,92,42,693927342,Koegria,693.71875,-73.671875,-150,0.61
Small Mountain,3,WOD_Mountain_05,706,65,20,77,706206577,Koegria,706.15625,-65.3984375,98,0.63
Small Mountain,3,WOD_Mountain_09,660,39,28,116,6602839116,Koegria,660.21875,-39.09375,-80,0.62
Small Mountain,3,WOD_Mountain_03,708,83,6,56,708068356,Koegria,708.046875,-83.5625,-65,0.53
Small Mountain,3,WOD_Mountain_03,659,49,100,120,65910049120,Koegria,659.78125,-49.0625,0,0.55
Small Mountain,3,WOD_Mountain_03,660,39,93,124,6609339124,Koegria,660.7265625,-39.03125,-36,0.69
Small Mountain,3,WOD_Mountain_08,706,71,105,31,7061057131,Koegria,706.8203125,-71.7578125,-146,0.75
Small Mountain,3,WOD_Mountain_09,703,68,108,105,70310868105,Koegria,703.84375,-68.1796875,-43,0.73
Small Mountain,3,WOD_Mountain_08,710,74,38,63,710387463,Koegria,710.296875,-74.5078125,102,0.7
Small Mountain,3,WOD_Mountain_05,657,55,27,24,657275524,Koegria,657.2109375,-55.8125,-89,0.71
Small Mountain,3,WOD_Mountain_02,692,78,64,22,692647822,Koegria,692.5,-78.828125,-80,0.7
Small Mountain,3,WOD_Mountain_08,659,49,118,58,6591184958,Koegria,659.921875,-49.546875,9,0.51
Small Mountain,3,WOD_Mountain_06,678,68,88,3,678886803,Koegria,678.6875,-68.9765625,115,0.69
Small Mountain,3,WOD_Mountain_09,684,61,40,51,684406151,Koegria,684.3125,-61.6015625,149,0.55
Small Mountain,3,WOD_Mountain_05,656,55,127,12,6561275512,Koegria,656.9921875,-55.90625,-87,0.52
Small Mountain,3,WOD_Mountain_08,706,65,101,108,70610165108,Koegria,706.7890625,-65.15625,123,0.61
Small Mountain,3,WOD_Mountain_09,675,62,28,10,675286210,Koegria,675.21875,-62.921875,98,0.6
Small Mountain,3,WOD_Mountain_01,704,70,33,51,704337051,Koegria,704.2578125,-70.6015625,-178,0.73
Small Mountain,3,WOD_Mountain_03,707,83,82,104,7078283104,Koegria,707.640625,-83.1875,6,0.63
Small Mountain,3,WOD_Mountain_09,706,81,101,73,7061018173,Koegria,706.7890625,-81.4296875,152,0.61
Small Mountain,3,WOD_Mountain_06,692,66,35,111,6923566111,Koegria,692.2734375,-66.1328125,163,0.51
Small Mountain,3,WOD_Mountain_08,671,54,60,4,671605404,Koegria,671.46875,-54.96875,98,0.73
Small Mountain,3,WOD_Mountain_08,666,62,90,32,666906232,Koegria,666.703125,-62.75,20,0.58
Small Mountain,3,WOD_Mountain_06,707,82,18,81,707188281,Koegria,707.140625,-82.3671875,41,0.7
Small Mountain,3,WOD_Mountain_02,675,63,79,95,675796395,Koegria,675.6171875,-63.2578125,-14,0.57
Small Mountain,3,WOD_Mountain_05,686,60,20,73,686206073,Koegria,686.15625,-60.4296875,-113,0.68
Small Mountain,3,WOD_Mountain_08,661,39,26,47,661263947,Koegria,661.203125,-39.6328125,69,0.72
Small Mountain,3,WOD_Mountain_03,686,62,73,96,686736296,Koegria,686.5703125,-62.25,-42,0.55
Small Mountain,3,WOD_Mountain_04,672,55,73,12,672735512,Koegria,672.5703125,-55.90625,-78,0.71
Small Mountain,3,WOD_Mountain_02,707,80,116,18,7071168018,Koegria,707.90625,-80.859375,-174,0.55
Small Mountain,3,WOD_Mountain_06,691,61,8,17,691086117,Koegria,691.0625,-61.8671875,-96,0.73
Small Mountain,3,WOD_Mountain_04,672,41,50,37,672504137,Koegria,672.390625,-41.7109375,134,0.61
Small Mountain,3,WOD_Mountain_05,675,51,36,78,675365178,Koegria,675.28125,-51.390625,141,0.73
Small Mountain,3,WOD_Mountain_09,673,55,15,36,673155536,Koegria,673.1171875,-55.71875,4,0.52
Small Mountain,3,WOD_Mountain_08,687,62,79,29,687796229,Koegria,687.6171875,-62.7734375,1,0.72
Small Mountain,3,WOD_Mountain_08,658,48,97,124,6589748124,Koegria,658.7578125,-48.03125,31,0.53
Small Mountain,3,WOD_Mountain_05,686,69,87,118,6868769118,Koegria,686.6796875,-69.078125,28,0.67
Small Mountain,3,WOD_Mountain_01,677,62,40,14,677406214,Koegria,677.3125,-62.890625,98,0.69
Small Mountain,3,WOD_Mountain_09,675,65,76,96,675766596,Koegria,675.59375,-65.25,14,0.64
Small Mountain,3,WOD_Mountain_04,694,59,46,93,694465993,Koegria,694.359375,-59.2734375,17,0.73
Small Mountain,3,WOD_Mountain_01,705,67,82,9,705826709,Koegria,705.640625,-67.9296875,-31,0.52
Small Mountain,3,WOD_Mountain_01,685,71,13,83,685137183,Koegria,685.1015625,-71.3515625,-134,0.71
Small Mountain,3,WOD_Mountain_08,656,51,8,90,656085190,Koegria,656.0625,-51.296875,149,0.7
