fid,name,type,prefab,worldX,worldY,locationID,terrainX,terrainY,region,gisX,gixY,rotYaxis,climate,color,sink
136340,Rocks,1,WOD_Rocks_Flat_Brown_Medium_02,384,495,3847049518,70,18,Alik'r Desert,384.546875,-495.859375,13,Desert,Brown,0.5
134810,Rocks,1,WOD_Rocks_Flat_Brown_Medium_05,322,442,3226444215,64,15,Alik'r Desert,322.5,-442.8828125,180,Desert,Brown,0.5
135040,Rocks,1,WOD_Rocks_Flat_Brown_Large_09,282,490,2820349097,3,97,Alik'r Desert,282.0234375,-490.2421875,-65,Desert,Brown,0.5
131559,Rocks,1,WOD_Rocks_Flat_Brown_Medium_09,446,495,4469249576,92,76,Alik'r Desert,446.71875,-495.40625,-72,Desert,Brown,0.5
136283,Rocks,1,WOD_Rocks_Flat_Brown_Medium_02,317,459,3173245915,32,15,Alik'r Desert,317.25,-459.8828125,11,Desert,Brown,0.5
135902,Rocks,1,WOD_Rocks_Flat_Brown_Small_05,533,408,5333240801,32,1,Alik'r Desert,533.25,-408.9921875,-125,Desert,Brown,0.5
130221,Rocks,1,WOD_Rocks_Flat_Brown_Small_08,400,494,400100494122,100,122,Alik'r Desert,400.78125,-494.046875,156,Desert,Brown,0.5
131713,Rocks,1,WOD_Rocks_Flat_Brown_Small_05,479,408,4795640809,56,9,Alik'r Desert,479.4375,-408.9296875,51,Desert,Brown,0.5
130066,Rocks,1,WOD_Rocks_Flat_Brown_Large_03,623,406,6231040671,10,71,Alik'r Desert,623.078125,-406.4453125,-101,Desert,Brown,0.5
131002,Rocks,1,WOD_Rocks_Flat_Brown_Large_09,326,466,32612246624,122,24,Alik'r Desert,326.953125,-466.8125,133,Desert,Brown,0.5
133544,Rocks,1,WOD_Rocks_Flat_Brown_Small_09,597,392,5977039299,70,99,Alik'r Desert,597.546875,-392.2265625,-25,Desert,Brown,0.5
136626,Rocks,1,WOD_Rocks_Flat_Brown_Medium_09,546,429,5468642954,86,54,Alik'r Desert,546.671875,-429.578125,64,Desert,Brown,0.5
134103,Rocks,1,WOD_Rocks_Flat_Brown_Small_05,496,443,4960944392,9,92,Alik'r Desert,496.0703125,-443.28125,-24,Desert,Brown,0.5
132647,Rocks,1,WOD_Rocks_Flat_Brown_Small_06,362,493,3624649344,46,44,Alik'r Desert,362.359375,-493.65625,-43,Desert,Brown,0.5
132811,Rocks,1,WOD_Rocks_Flat_Brown_Small_09,391,473,3912547384,25,84,Alik'r Desert,391.1953125,-473.34375,-2,Desert,Brown,0.5
136413,Rocks,1,WOD_Rocks_Flat_Brown_Large_08,482,409,4820140997,1,97,Alik'r Desert,482.0078125,-409.2421875,144,Desert,Brown,0.5
130128,Rocks,1,WOD_Rocks_Flat_Brown_Large_08,564,413,5643341324,33,24,Alik'r Desert,564.2578125,-413.8125,127,Desert,Brown,0.5
130142,Rocks,1,WOD_Rocks_Flat_Brown_Medium_04,589,414,5895241483,52,83,Alik'r Desert,589.40625,-414.3515625,-2,Desert,Brown,0.5
132135,Rocks,1,WOD_Rocks_Flat_Brown_Large_05,545,428,5451842835,18,35,Alik'r Desert,545.140625,-428.7265625,96,Desert,Brown,0.5
134350,Rocks,1,WOD_Rocks_Flat_Brown_Small_02,340,425,3405042596,50,96,Alik'r Desert,340.390625,-425.25,-131,Desert,Brown,0.5
132118,Rocks,1,WOD_Rocks_Flat_Brown_Small_07,556,421,556109421120,109,120,Alik'r Desert,556.8515625,-421.0625,-143,Desert,Brown,0.5
135472,Rocks,1,WOD_Rocks_Flat_Brown_Medium_08,494,431,4947243107,72,7,Alik'r Desert,494.5625,-431.9453125,-92,Desert,Brown,0.5
133767,Rocks,1,WOD_Rocks_Flat_Brown_Small_10,388,466,3884746632,47,32,Alik'r Desert,388.3671875,-466.75,-96,Desert,Brown,0.5
135541,Rocks,1,WOD_Rocks_Flat_Brown_Small_01,596,422,5960742293,7,93,Alik'r Desert,596.0546875,-422.2734375,38,Desert,Brown,0.5
131101,Rocks,1,WOD_Rocks_Flat_Brown_Medium_02,596,432,5961443272,14,72,Alik'r Desert,596.109375,-432.4375,-15,Desert,Brown,0.5
130346,Rocks,1,WOD_Rocks_Flat_Brown_Large_03,293,495,2939449524,94,24,Alik'r Desert,293.734375,-495.8125,28,Desert,Brown,0.5
135582,Rocks,1,WOD_Rocks_Flat_Brown_Medium_07,463,464,4633646434,36,34,Alik'r Desert,463.28125,-464.734375,-129,Desert,Brown,0.5
136085,Rocks,1,WOD_Rocks_Flat_Brown_Medium_04,609,419,6093841983,38,83,Alik'r Desert,609.296875,-419.3515625,54,Desert,Brown,0.5
135070,Rocks,1,WOD_Rocks_Flat_Brown_Small_01,478,400,4783440034,34,34,Alik'r Desert,478.265625,-400.734375,-114,Desert,Brown,0.5
131169,Rocks,1,WOD_Rocks_Flat_Brown_Large_01,387,493,3877249323,72,23,Alik'r Desert,387.5625,-493.8203125,60,Desert,Brown,0.5
133922,Rocks,1,WOD_Rocks_Flat_Brown_Medium_12,489,473,4897147321,71,21,Alik'r Desert,489.5546875,-473.8359375,50,Desert,Brown,0.5
136343,Rocks,1,WOD_Rocks_Flat_Brown_Medium_06,503,414,5030441453,4,53,Alik'r Desert,503.03125,-414.5859375,64,Desert,Brown,0.5
135896,Rocks,1,WOD_Rocks_Flat_Brown_Large_08,582,387,58210738729,107,29,Alik'r Desert,582.8359375,-387.7734375,100,Desert,Brown,0.5
133636,Rocks,1,WOD_Rocks_Flat_Brown_Large_01,309,494,30912349499,123,99,Alik'r Desert,309.9609375,-494.2265625,158,Desert,Brown,0.5
134982,Rocks,1,WOD_Rocks_Flat_Brown_Large_09,324,473,3244647366,46,66,Alik'r Desert,324.359375,-473.484375,99,Desert,Brown,0.5
132571,Rocks,1,WOD_Rocks_Flat_Brown_Medium_01,332,436,3327443699,74,99,Alik'r Desert,332.578125,-436.2265625,36,Desert,Brown,0.5
136034,Rocks,1,WOD_Rocks_Flat_Brown_Large_01,469,462,46912146276,121,76,Alik'r Desert,469.9453125,-462.40625,-113,Desert,Brown,0.5
137058,Rocks,1,WOD_Rocks_Flat_Brown_Medium_12,385,479,385116479119,116,119,Alik'r Desert,385.90625,-479.0703125,139,Desert,Brown,0.5
136261,Rocks,1,WOD_Rocks_Flat_Brown_Medium_10,397,420,3974542051,45,51,Alik'r Desert,397.3515625,-420.6015625,-102,Desert,Brown,0.5
136157,Rocks,1,WOD_Rocks_Flat_Brown_Small_03,448,452,4480445223,4,23,Alik'r Desert,448.03125,-452.8203125,94,Desert,Brown,0.5
136873,Rocks,1,WOD_Rocks_Flat_Brown_Small_06,548,442,5483644234,36,34,Alik'r Desert,548.28125,-442.734375,5,Desert,Brown,0.5
132989,Rocks,1,WOD_Rocks_Flat_Brown_Medium_04,297,450,29711445034,114,34,Alik'r Desert,297.890625,-450.734375,-172,Desert,Brown,0.5
130608,Rocks,1,WOD_Rocks_Flat_Brown_Small_01,302,453,30211045320,110,20,Alik'r Desert,302.859375,-453.84375,148,Desert,Brown,0.5
133344,Rocks,1,WOD_Rocks_Flat_Brown_Large_09,232,493,23210749329,107,29,Alik'r Desert,232.8359375,-493.7734375,67,Desert,Brown,0.5
134174,Rocks,1,WOD_Rocks_Flat_Brown_Medium_09,599,403,5999240305,92,5,Alik'r Desert,599.71875,-403.9609375,-70,Desert,Brown,0.5
136398,Rocks,1,WOD_Rocks_Flat_Brown_Medium_03,598,396,5981639673,16,73,Alik'r Desert,598.125,-396.4296875,-100,Desert,Brown,0.5
132429,Rocks,1,WOD_Rocks_Flat_Brown_Medium_03,334,467,3349746748,97,48,Alik'r Desert,334.7578125,-467.625,-100,Desert,Brown,0.5
137210,Rocks,1,WOD_Rocks_Flat_Brown_Small_01,477,403,47771403116,71,116,Alik'r Desert,477.5546875,-403.09375,-12,Desert,Brown,0.5
134027,Rocks,1,WOD_Rocks_Flat_Brown_Medium_06,380,478,3809947839,99,39,Alik'r Desert,380.7734375,-478.6953125,82,Desert,Brown,0.5
135217,Rocks,1,WOD_Rocks_Flat_Brown_Medium_01,442,484,4429348490,93,90,Alik'r Desert,442.7265625,-484.296875,60,Desert,Brown,0.5
129621,Rocks,1,WOD_Rocks_Flat_Brown_Small_05,521,430,52159430114,59,114,Alik'r Desert,521.4609375,-430.109375,114,Desert,Brown,0.5
135872,Rocks,1,WOD_Rocks_Flat_Brown_Small_04,461,486,4616648692,66,92,Alik'r Desert,461.515625,-486.28125,2,Desert,Brown,0.5
136089,Rocks,1,WOD_Rocks_Flat_Brown_Medium_08,474,471,4743947106,39,6,Alik'r Desert,474.3046875,-471.953125,-5,Desert,Brown,0.5
131757,Rocks,1,WOD_Rocks_Flat_Brown_Large_05,413,431,41312643175,126,75,Alik'r Desert,413.984375,-431.4140625,-33,Desert,Brown,0.5
134106,Rocks,1,WOD_Rocks_Flat_Brown_Small_08,523,446,5233644633,36,33,Alik'r Desert,523.28125,-446.7421875,-5,Desert,Brown,0.5
130073,Rocks,1,WOD_Rocks_Flat_Brown_Small_02,551,388,5516838816,68,16,Alik'r Desert,551.53125,-388.875,72,Desert,Brown,0.5
131420,Rocks,1,WOD_Rocks_Flat_Brown_Medium_10,260,466,2609146645,91,45,Alik'r Desert,260.7109375,-466.6484375,83,Desert,Brown,0.5
130869,Rocks,1,WOD_Rocks_Flat_Brown_Small_10,302,491,3023349181,33,81,Alik'r Desert,302.2578125,-491.3671875,117,Desert,Brown,0.5
132207,Rocks,1,WOD_Rocks_Flat_Brown_Medium_04,290,481,29083481107,83,107,Alik'r Desert,290.6484375,-481.1640625,176,Desert,Brown,0.5
133665,Rocks,1,WOD_Rocks_Flat_Brown_Medium_12,282,479,28299479116,99,116,Alik'r Desert,282.7734375,-479.09375,15,Desert,Brown,0.5
136078,Rocks,1,WOD_Rocks_Flat_Brown_Small_07,358,455,35812045586,120,86,Alik'r Desert,358.9375,-455.328125,-6,Desert,Brown,0.5
132033,Rocks,1,WOD_Rocks_Flat_Brown_Small_07,491,421,4910142145,1,45,Alik'r Desert,491.0078125,-421.6484375,75,Desert,Brown,0.5
131809,Rocks,1,WOD_Rocks_Flat_Brown_Medium_11,296,494,2960549488,5,88,Alik'r Desert,296.0390625,-494.3125,32,Desert,Brown,0.5
130038,Rocks,1,WOD_Rocks_Flat_Brown_Large_03,477,465,4773446520,34,20,Alik'r Desert,477.265625,-465.84375,38,Desert,Brown,0.5
131579,Rocks,1,WOD_Rocks_Flat_Brown_Small_09,566,384,5660238445,2,45,Alik'r Desert,566.015625,-384.6484375,-94,Desert,Brown,0.5
136568,Rocks,1,WOD_Rocks_Flat_Brown_Medium_08,309,452,3091645203,16,3,Alik'r Desert,309.125,-452.9765625,151,Desert,Brown,0.5
137214,Rocks,1,WOD_Rocks_Flat_Brown_Small_06,479,420,47911242013,112,13,Alik'r Desert,479.875,-420.8984375,-88,Desert,Brown,0.5
129964,Rocks,1,WOD_Rocks_Flat_Brown_Medium_07,228,483,2283848345,38,45,Alik'r Desert,228.296875,-483.6484375,-180,Desert,Brown,0.5
134347,Rocks,1,WOD_Rocks_Flat_Brown_Large_07,386,450,3861745068,17,68,Alik'r Desert,386.1328125,-450.46875,-102,Desert,Brown,0.5
130497,Rocks,1,WOD_Rocks_Flat_Brown_Small_07,449,496,44910649622,106,22,Alik'r Desert,449.828125,-496.828125,50,Desert,Brown,0.5
135335,Rocks,1,WOD_Rocks_Flat_Brown_Medium_05,380,468,3801946804,19,4,Alik'r Desert,380.1484375,-468.96875,-66,Desert,Brown,0.5
132286,Rocks,1,WOD_Rocks_Flat_Brown_Small_10,302,460,30213460110,13,110,Alik'r Desert,302.1015625,-460.140625,128,Desert,Brown,0.5
135590,Rocks,1,WOD_Rocks_Flat_Brown_Large_03,239,464,2397146410,71,10,Alik'r Desert,239.5546875,-464.921875,31,Desert,Brown,0.5
133923,Rocks,1,WOD_Rocks_Flat_Brown_Large_01,339,428,3391742841,17,41,Alik'r Desert,339.1328125,-428.6796875,-86,Desert,Brown,0.5
129816,Rocks,1,WOD_Rocks_Flat_Brown_Medium_01,492,426,4922242681,22,81,Alik'r Desert,492.171875,-426.3671875,-89,Desert,Brown,0.5
130911,Rocks,1,WOD_Rocks_Flat_Brown_Large_02,271,487,27119487110,19,110,Alik'r Desert,271.1484375,-487.140625,-5,Desert,Brown,0.5
136681,Rocks,1,WOD_Rocks_Flat_Brown_Medium_06,245,473,2452147341,21,41,Alik'r Desert,245.1640625,-473.6796875,-122,Desert,Brown,0.5
135648,Rocks,1,WOD_Rocks_Flat_Brown_Large_05,495,420,495112420116,112,116,Alik'r Desert,495.875,-420.09375,2,Desert,Brown,0.5
137184,Rocks,1,WOD_Rocks_Flat_Brown_Small_05,554,432,55428432107,28,107,Alik'r Desert,554.21875,-432.1640625,-160,Desert,Brown,0.5
137188,Rocks,1,WOD_Rocks_Flat_Brown_Small_09,444,484,44410648442,106,42,Alik'r Desert,444.828125,-484.671875,158,Desert,Brown,0.5
135097,Rocks,1,WOD_Rocks_Flat_Brown_Large_08,313,441,3132444169,24,69,Alik'r Desert,313.1875,-441.4609375,36,Desert,Brown,0.5
135303,Rocks,1,WOD_Rocks_Flat_Brown_Small_09,492,460,492127460104,127,104,Alik'r Desert,492.9921875,-460.1875,-150,Desert,Brown,0.5
135585,Rocks,1,WOD_Rocks_Flat_Brown_Medium_10,367,463,3670246378,2,78,Alik'r Desert,367.015625,-463.390625,-39,Desert,Brown,0.5
137113,Rocks,1,WOD_Rocks_Flat_Brown_Medium_09,233,478,2339747842,97,42,Alik'r Desert,233.7578125,-478.671875,72,Desert,Brown,0.5
133247,Rocks,1,WOD_Rocks_Flat_Brown_Medium_02,360,452,36011545237,115,37,Alik'r Desert,360.8984375,-452.7109375,-134,Desert,Brown,0.5
130341,Rocks,1,WOD_Rocks_Flat_Brown_Medium_10,507,446,5078344642,83,42,Alik'r Desert,507.6484375,-446.671875,-99,Desert,Brown,0.5
132088,Rocks,1,WOD_Rocks_Flat_Brown_Small_06,472,472,47242472100,42,100,Alik'r Desert,472.328125,-472.21875,6,Desert,Brown,0.5
132738,Rocks,1,WOD_Rocks_Flat_Brown_Medium_06,239,475,239116475127,116,127,Alik'r Desert,239.90625,-475.0078125,-21,Desert,Brown,0.5
133759,Rocks,1,WOD_Rocks_Flat_Brown_Small_02,377,469,37710946975,109,75,Alik'r Desert,377.8515625,-469.4140625,172,Desert,Brown,0.5
130796,Rocks,1,WOD_Rocks_Flat_Brown_Medium_12,467,464,46727464103,27,103,Alik'r Desert,467.2109375,-464.1953125,-30,Desert,Brown,0.5
131831,Rocks,1,WOD_Rocks_Flat_Brown_Medium_03,394,482,394125482117,125,117,Alik'r Desert,394.9765625,-482.0859375,-177,Desert,Brown,0.5
133132,Rocks,1,WOD_Rocks_Flat_Brown_Small_04,530,430,5303843025,38,25,Alik'r Desert,530.296875,-430.8046875,25,Desert,Brown,0.5
132066,Rocks,1,WOD_Rocks_Flat_Brown_Medium_02,400,471,4009747150,97,50,Alik'r Desert,400.7578125,-471.609375,-125,Desert,Brown,0.5
134753,Rocks,1,WOD_Rocks_Flat_Brown_Medium_05,351,442,35111944214,119,14,Alik'r Desert,351.9296875,-442.890625,160,Desert,Brown,0.5
135741,Rocks,1,WOD_Rocks_Flat_Brown_Medium_01,344,431,3441143121,11,21,Alik'r Desert,344.0859375,-431.8359375,-101,Desert,Brown,0.5
131035,Rocks,1,WOD_Rocks_Flat_Brown_Small_04,339,481,33968481108,68,108,Alik'r Desert,339.53125,-481.15625,22,Desert,Brown,0.5
134917,Rocks,1,WOD_Rocks_Flat_Brown_Medium_10,479,477,4790647743,6,43,Alik'r Desert,479.046875,-477.6640625,-164,Desert,Brown,0.5
129992,Rocks,1,WOD_Rocks_Flat_Brown_Small_03,459,463,45981463116,81,116,Alik'r Desert,459.6328125,-463.09375,176,Desert,Brown,0.5
133157,Rocks,1,WOD_Rocks_Flat_Brown_Small_04,455,485,4550448515,4,15,Alik'r Desert,455.03125,-485.8828125,169,Desert,Brown,0.5
130838,Rocks,1,WOD_Rocks_Flat_Brown_Small_07,374,409,3744240971,42,71,Alik'r Desert,374.328125,-409.4453125,-141,Desert,Brown,0.5
