fid,name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,sink
1,Desert Mountain,1,WOD_Mountain_Desert_01,-111,372,465,24,35,3722446535,Alik'r Desert,372.1875,-465.7265625,8,1
3,Desert Mountain,1,WOD_Mountain_Desert_03,-141,402,482,38,52,4023848252,Alik'r Desert,402.296875,-482.59375,8,1
13,Desert Mountain,1,WOD_Mountain_Desert_06,-170,381,447,111,52,38111144752,Alik'r Desert,381.8671875,-447.59375,8,1
15,Desert Mountain,1,WOD_Mountain_Desert_01,-24,308,443,31,93,3083144393,Alik'r Desert,308.2421875,-443.2734375,8,1
16,Desert Mountain,1,WOD_Mountain_Desert_02,-166,594,410,108,64,59410841064,Alik'r Desert,594.84375,-410.5,8,1
17,Desert Mountain,1,WOD_Mountain_Desert_03,-15,247,479,100,88,24710047988,Alik'r Desert,247.78125,-479.3125,8,1
20,Desert Mountain,1,WOD_Mountain_Desert_06,-6,539,395,120,101,539120395101,Alik'r Desert,539.9375,-395.2109375,8,1
23,Desert Mountain,1,WOD_Mountain_Desert_02,160,345,433,24,46,3452443346,Alik'r Desert,345.1875,-433.640625,8,1
26,Desert Mountain,1,WOD_Mountain_Desert_05,-38,628,416,83,124,62883416124,Alik'r Desert,628.6484375,-416.03125,8,1
28,Desert Mountain,1,WOD_Mountain_Desert_07,57,558,428,58,1,5585842801,Alik'r Desert,558.453125,-428.9921875,8,1
30,Desert Mountain,1,WOD_Mountain_Desert_02,167,357,475,5,76,3570547576,Alik'r Desert,357.0390625,-475.40625,8,1
31,Desert Mountain,1,WOD_Mountain_Desert_03,-149,360,480,65,58,3606548058,Alik'r Desert,360.5078125,-480.546875,8,1
33,Desert Mountain,1,WOD_Mountain_Desert_05,-156,340,427,100,28,34010042728,Alik'r Desert,340.78125,-427.78125,8,1
36,Desert Mountain,1,WOD_Mountain_Desert_01,-98,345,491,51,99,3455149199,Alik'r Desert,345.3984375,-491.2265625,8,1
38,Desert Mountain,1,WOD_Mountain_Desert_03,-97,369,480,45,12,3694548012,Alik'r Desert,369.3515625,-480.90625,8,1
42,Desert Mountain,1,WOD_Mountain_Desert_07,160,399,472,58,91,3995847291,Alik'r Desert,399.453125,-472.2890625,8,1
43,Desert Mountain,1,WOD_Mountain_Desert_01,67,290,455,56,17,2905645517,Alik'r Desert,290.4375,-455.8671875,8,1
44,Desert Mountain,1,WOD_Mountain_Desert_02,94,332,483,106,108,332106483108,Alik'r Desert,332.828125,-483.15625,8,1
45,Desert Mountain,1,WOD_Mountain_Desert_03,51,538,402,31,106,53831402106,Alik'r Desert,538.2421875,-402.171875,8,1
50,Desert Mountain,1,WOD_Mountain_Desert_01,-134,568,406,59,15,5685940615,Alik'r Desert,568.4609375,-406.8828125,8,1
53,Desert Mountain,1,WOD_Mountain_Desert_04,-171,372,441,104,0,37210444100,Alik'r Desert,372.8125,-442,8,1
54,Desert Mountain,1,WOD_Mountain_Desert_05,87,422,432,50,114,42250432114,Alik'r Desert,422.390625,-432.109375,8,1
58,Desert Mountain,1,WOD_Mountain_Desert_02,36,377,447,73,63,3777344763,Alik'r Desert,377.5703125,-447.5078125,8,1
63,Desert Mountain,1,WOD_Mountain_Desert_07,60,358,474,74,27,3587447427,Alik'r Desert,358.578125,-474.7890625,8,1
