name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region
Shrine of Dibella,0,WOD_Shrine_Dibella_01,291,453,92,77,2919145376,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,595,434,70,50,5956943449,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,411,426,100,78,4119942677,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,237,475,117,62,23711647561,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,355,490,111,107,355110490106,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,542,408,7,48,5420640847,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,347,478,101,56,34710047855,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,286,494,82,16,2868149415,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,294,493,59,18,2945849317,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,601,389,1,124,600128389123,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,378,454,93,93,3789245492,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,601,424,36,14,6013542413,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,307,441,33,64,3073244163,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,422,499,79,116,42278499115,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,490,425,51,92,4905042591,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,351,437,21,120,35120437119,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,589,421,53,92,5895242191,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,305,453,125,77,30512445376,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,366,415,11,79,3661041578,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,596,409,43,61,5964240960,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,427,494,25,56,4272449455,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,535,431,7,107,53506431106,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,600,402,84,66,6008340265,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,507,408,38,13,5073740812,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,378,465,21,39,3782046538,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,268,458,75,43,2687445842,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,356,482,88,124,35687482123,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,556,419,98,102,55697419101,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,285,458,59,107,28558458106,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,364,445,57,110,36456445109,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,631,421,41,74,6314042173,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,558,424,120,115,558119424114,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,389,441,25,115,38924441114,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,554,393,27,62,5542639361,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,394,441,25,38,3942444137,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,440,493,77,23,4407649322,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,602,387,101,47,60210038746,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,286,471,117,27,28611647126,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,449,444,71,41,4497044440,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,368,497,80,27,3687949726,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,376,412,56,80,3765541279,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,419,436,83,5,4198243604,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,608,433,77,121,60876433120,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,404,431,87,98,4048643197,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,355,441,21,1,3552044100,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,469,480,120,79,46911948078,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,275,472,33,110,27532472109,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,312,449,119,100,31211844999,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,284,471,84,125,28483471124,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,554,434,61,120,55460434119,Alik'r Desert
Shrine of Dibella,0,WOD_Shrine_Dibella_01,500,431,89,91,5008843190,Alik'r Desert
